Yazar,Ay,Sene,Baslik,Paragraf
Alper Mert,1,2024,Dayı raconu kesti,"Futbolcu vardır, lider vardır, ikisi birlikte olduğu zaman ortaya keyif veren bir hikaye çıkar. Kerem Demirbay, Ümraniyespor karşısında böyle bir periyodun ateşini yaktı. Ümraniyespor’un, Barış Alper Yılmaz’ın kendi kalesini attığı golle yaşattığı şokun atlatılmasında Kerem Demirbay büyük sorumluluk aldı. Lider duruşu ve pas alışverişlerindeki patronluğu Galatasaray adına kabusu başlamadan sona erdirdi. Oyunda kaldığı 62 dakikaya 3 asist ve birçok tehlikeli şut denemesi sığdıran Kerem bana göre Galatasaray’ın kaptanlık yolunda hızla ilerliyor. Son haftalarda sonradan bulduğu şansları iyi değerlendiren Eyüp Aydın ilk 11’de kalıcı olma yolunda emin adımlar atıyor. Berkan Kutlu geri dönüşü sonrası 11’deki ilk maçında, rotasyon topçusu olmasının üzerine henüz koyamadığını gösterdi. Tete gol atmasına rağmen beklentilerin çok gerisinde. Barış Alper Yılmaz’a helal olsun yine yorulmadan savaştı. Kendi kalesine attı, rakip kaleye attı, aslanlar gibi mücadele etti.
Tete üzerine oyunun son bölümünde şans bulan yıldızlardan Ndombele ve Zaha’yı izledikçe Okan Buruk’a sabır diliyorum. Ne kariyerlerinin ne de maliyetlerinin karşılığı kesinlikle böyle bir performans olmamalı. Kriz bezirganlarına kötü bir haberim var, Galatasaray’da, Ümraniye galibiyeti ile toparlanma süreci başlar!"
Alper Mert,1,2024,İsyan etmek zorundasınız,"Yıldız olan farkını ortaya koyar diyoruz. Teknik direktörü, yönetimi, taraftarı sabır gösteriyor. Sahadaki sözde yıldızın umurunda değil! Zaha, Tete, Ndombele karşınızda Real Madrid mi var beyler? Sivas’a, Kayseri’ye karşı oynayamayacaksanız kime karşı oynayacaksınız? Kamyonla para alacaksınız bir de sizin hazır olmanızı mı bekleyecek bu taraftar? Ndombele ikili mücadele lideriymiş, Zaha dripling yapıyormuş, Tete topla muhteşemmiş dalga mı geçiyorsunuz? Üçünün maliyetine millet takım kuruyor. Bırakın masal anlatmayı. Sakat İcardi’nin tatili bitmez, kadroda olanın formu bir türlü tutmaz. Galatasaray armasının temsili bu kadar rahatlığı kaldırmaz.
Galatasaray takımı Mertens olmasa rakip sahada resmen yok. Eleştirdiğimiz Kerem Aktürkoğlu yok, rakip sahada baskı yok. Okan Hoca artık bırak bu geçmişine yatırım yapılmış adamları, gençlere şans ver. Kendini ispatlama isteği, heyecanı olan evlatları oynat. Son dakika penaltısı olmasa bize bu oyunu nasıl anlatacaktın hocam. Galatasaray’dan bahsediyoruz, kişilerin keyfine göre hareket edilecek bir durum yok.
Galatasaray toparlanmak, isyan etmek zorundadır. Kayseri’ye karşı kazanmak için son dakika penaltısı beklenmez. Galatasaray, Kayserispor gibi bir takıma karşı çıkar sahada ezer, farkını atar, keyfine bakar. Galatasaray takımı sahada armanın hakkını verecek, tribünü ateşleyecek bu organizasyonun sonu şampiyonluk olacak. Bu oyun kalitesi yukarıya çıkmak zorunda."
Alper Mert,1,2024,Yıldız dediğin parlar,"Maçın skorunu Sivasspor’un oynatmama taktiği ve Zorbay Küçük’ün, Galatasaray’a karşı cesareti belirledi. Sivasspor ceza sahasındaki ele, kola kör olan Sayın Küçük, sarı-kırmızı renklere full konsantreydi. Sayın Küçük 2 penaltıyı yiyecek kadar cesurdu! Başkan Dursun Özbek ve yönetiminin özellikle TFF’nin Süper Kupa skandalı sonrası yaşadığı suskunlukta hakemlerin hata özgüvenini arttırmış gibi duruyor. Gecenin sonunda hakemin bir penaltı bir kırmızı kartı tabii ki kötü oyunun bahanesi olamaz.
1-0’la geçilen ilk devrenin ardından rakibi açılır Galatasaray sahaya hakim olur dedik ama olmadı. Galatasaray’ın eksikleri gün geçtikçe artarken bu durumu fırsata çevirme şansını elinde bulunduran oyunculardan Nelsson ve Kerem Demirbay dışında farkındalık yaratan başka isim göremedik. Bir defa şunu kabul edelim ki; Kulübede oturan, sahada yürüyen yıldıza Galatasaray’ın ihtiyacı yok! İcardi yoksa kalite düşmesin diye alınan Zaha ne zaman bu etkiyi yaratacak gerçekten merak ediyorum. Ya da Ndombele ne zaman Torreira kadar faydalı işler yapacak? Yıldız payını alan yıldız etkisini gösterecek ve parlayacak.
Zaha, Ndombele hazır olacak diye beklemektense gençlere şans verip, onlara sabır göstermeyi tercih ederim. 1-1 moral bozar ama ayar bozmaz Galatasaray yine şampiyon olur. Ancak tek şartla, rehabilite olamayanlarla yollar ayrılmalı."
Alper Mert,1,2024,3 gollü uyarı,"Konyaspor karşısında 3 gollü galibiyet değerli bir sonuç ancak oyunun geneli daha iyi olmalıydı. İcardi, Torreira ve Boey’nin yokluğu önemli ama rakip de Bayern Münih değil! Şampiyonlar Ligi’nde fark yaratsın diye alınan oyuncular Süper Lig’de biraz daha etkili olmalılar.
Abdülkerim’e gerçekten helal olsun. Tarihi işler yapıyor. Kerem Demirbay asistini yaptı, orta sahanın yükünü omuzladı. Ndombele ise kazandığı ikili mücadelelerle dikkat çekerken şimdiye kadar daha üst seviyeye çıkmalıydı. Eyüp Aydın şans bulmalı. Zaha takımdan ayrı tek başına bir şeyler yapmaya çalışıyor. Attığı gole rağmen takım oyununa katkısı çok düşük. Kaan Ayhan, Boey’in yokluğunda sağ bekte faydalı işler yaptı. Tete için hala umut var. Konyaspor’un 18 yaşındaki kalecisi Deniz ilk Süper Lig maçında ortaya koyduğu performansla, “Gençlere güvenin” mesajını verdi.
Galatasaray yönetiminin geçmişine yatırım yaptığı yıldızların neredeyse tamamı hayal kırıklığı yaratmaya devam ediyor. Hem cebe hem sahaya fayda analizi doğru şekilde yapılıp transfer planlaması gözden geçirilmeli. Okan Buruk’un takımının yıldızdan çok asker karakterli savaşçı oyunculara ihtiyacı var. 3-0’lık galibiyetin yanında transfer mesajları çok iyi irdelenmeli."
Alper Mert,2,2024,İstifa et Büyükekşi!,"Sonda söyleyeceğimi başta söyleyeceğim çünkü ülke futbolu kimsenin oyun alanı değil. Yetti artık senin eyyam dolu yönetimin, yetti artık senin saçma sapan hakem işlerin. Galatasaray’ın senin gaz alma işlerine ihtiyacı yok. Galatasaray yıllardır çıkıyor hakkıyla kazanıyor ya da kaybediyor. Yok lobi gücüymüş, yok derin Galatasaray bunların hepsi başarısızlıkla tarih yazanların cambaza bak işleri! İstifa et Mehmet Büyükekşi!
Sergen Yalçın oyunu çirkinleştirmeden açık bir oyun oynattı. Okan Buruk’un takımı ise beklediğimiz oyun kalitesinin gerisinde kaldı. Maçın ilk penaltısı bana göre ağır bir karardı. Pozisyonda penaltı verilmese çoğu Galatasaraylı bunu sorgulamazdı. Ancak TFF koltuğuna yapışan Mehmet Büyükekşi’nin yönetim zihniyetine yakışan bir şekilde bazı maçlar da görmeye alışık olduğumuz bir penaltı kararı ile karşı karşıya kaldık. Sonuçta Galatasaraylı taraftarlar, “Bizim böyle penaltılara ihtiyacımız yok” söyleminde bulunarak dik bir duruş sergilediler. Herkese örnek olsun diyeceğim ama bu futbol ortamında gerçekten çok zor!
Takım sahada kazanırken Dursun Özbek yönetimi yazılı açıklamalar dışında daha net duruş sergilemeli. Beşiktaş derbisi öncesi lider kazandı, şampiyonluk yürüyüşüne devam etti. Algı senaristleri için mesai devam ediyor."
Alper Mert,2,2024,Hayal kırıklığı,"Galatasaray 3-2’lik maçın rövanşında deplasmanda Sparta Prag karşısında zoru başardı, elendi! Orijinal beklerle oynamamak ilk defa bu denli dert oldu. Maçın hemen başında Preciado’nun ayağından gelen golde Köhn gibi asli görevi sol bek olan bir oyuncunun olmaması büyük etkendi. Aynı şekilde sağ bekte gördüğü kırmızı kartla ikinci golün önünü açan Kaan Ayhan’ın yerine Aurier olsa farklı bir tablo ortaya çıkardı.
Ancak Hakem Taylor’ın, Kaan’a gösterdiği karttaki cesaretini rakibe vermediği net kartlarda göremedik. Galatasaray rekabetini anlamsız yerlere çeken, ülke futbolu adına temsil yetkisi bulunan bazı başkanların eksik Avrupa lobisinin eseri Türk takımlarının kolay şekilde harcanmasına sebep oluyor. İkinci yarıda turu kaybettiren iki gol de Muslera’nın kurtarabileceği pozisyonlardı.
70. dakikadan itibaren 10 kişi oynamanın yanı sıra hayal kırıklığı olarak sona eren Avrupa serüveninde bek takviyelerinde geç kalınmasının, Davinson Sanchez ve Kerem Demirbay dışında transferlerin tam anlamıyla fiyaskoyla sonuçlanmasının büyük etkisi var. İcardi ile aynı futbol dilini konuşacak kalitede iki isim olsaydı Avrupa’dan elenmeyi geçtim yeni bir tarih yazma şansı ortaya çıkardı. Galatasaray’ın elenebilirdi ama 4-1’lik skor tarihi bir ayıp oldu!"
Alper Mert,2,2024,Komediye gerek yok,"Galatasaray gününde olsun zaman, mekan, zemin fark etmiyor. Prag yorgunluğunun üzerine Eryaman’ın ağır zemini eklenince, “Galatasaray puan kaybeder” beklentisindekiler yine hayal kırıklığına uğradı.
Okan Buruk büyük bir riskle Prag rövanşını düşünerek Torreira’yı yedek bıraktı. Ortaya konan futbol ve farklı galibiyet, “Torreira yoksa orta saha çöker” görüşünü de tarihe gömdü. Berkan ve Kerem Demirbay orta sahası dirençli, üretken görüntüsüyle hocasına güven verdi. Berkan ve Sanchez’in yer değişikliği planının sonu golle sonuçlandı. Sahanın komutanı yine mutsuz İcardi oldu! Barış Alper’in önünde Tete de uzun bir aradan sonra keyif verdi.
Ankaragücü’nde Kazımcan’ın performansı Galatasaray’da neden oynayamadığının ispatıydı. İkinci yarıda oyundan çıkan genç oyuncu başkalarına yeni malzeme oldu. Fenerbahçe’nin efsanesi Emre Belözoğlu’nun çalıştırdığı bir takım üzerinden yine komplo teorileri üretildi. Kendi efsanesine güvenmeyenler gerçekten ayıp ediyor. Her galibiyetine bahane bulanlara göre Galatasaray’ın 200 milyon Euro’luk takımla normal şartlarda maç kazanma şansı yok(!) Bu komik düşüncedekiler sezon sonunda gerçeklerle yüzleştiklerinde ne konuşacaklar çok merak ediyorum. Bu görüşte olanlar varken komedyenlere gerek yok."
Alper Mert,2,2024,Prag'da turlar,"Galatasaray zoru seviyor. Bu gerçeği tarih yazıyor. Kolay galibiyetler, olası zaferler Galatasaray’a çok fazla zevk vermiyor. Son dakika Kral İcardi’nin golü belki de turu getirdi.
Sparta Prag karşısında da kolayı zor yaparak aslında yeni bir tarih yazma fırsatını ele geçirdi. Gönlümüz tabii ki Ali Sami Yen’de daha farklı bir skor alınmasındaydı. Ancak Okan Buruk’un kazanan takımı bu defa kolay goller yedi. Maçın yüzde 80’lik bölümü Sparta Prag kalesinde oynanırken yapılan basit hatalar 3-2’lik skoru ortaya çıkardı. İcardi’nin komutanlığında, Torreira, Kerem Demirbay ve Mertens’in kaliteleriyle orta sahada kurdukları hakimiyetle aslında maçın hakkı çok daha farklı bir skordu.
İspanyol hakem Hernandez’in, Barış Alper’in penaltı kokan pozisyonunu es geçmesi Avrupa’da ülkemize karşı verilen çifte standart kararların bir devamı oldu. Ancak başka bir gerçek de Galatasaray beksizliğinin cezasını Prag karşısında çekmesi oldu. Boey gitmemiş olsa ya da Aurier ile Köhn ilk 11’de olsaydı Prag kanatlardan bu kadar etkili gelemezdi. Okan Buruk defans kurgusunu yeniden elden geçirir, Galatasaray bu Prag’ı evinde de yener ve turu geçer. Türkiye’nin gururu yine gereğini yapacak, tarih yazmaya devam edecek."
Alper Mert,2,2024,Mertens ateşi yaktı,"Galatasaray mesaj veren bir takımdır. Sahadaki oyunu Galatasaray gözüyle okuyanlar gelecekle ilgili mesajları çok net şekilde alırlar. Rakip kim olursa olsun, sonuç olumlu ya da olumsuz olsun Galatasaray’ın oyunu sarı-kırmızılı kalplere dokunur. Başakşehir karşısında Galatasaray’da mesaj verme sorumluluğunu Mertens’e aitti. Şampiyonluk inancını, şampiyonluk coşkusunu Belçikalı yıldız, taraftarlarına fazlasıyla hissettirdi. Kadro kalitesi anlamında ligin üst düzey takımları arasında yer alan Başakşehir’i sahasına hapseden Galatasaray rakip sahada adeta kamp kurdu.
Tartışmasının sezonun en iyi ismi olan Barış Alper yine sahnedeydi. Kerem Aktürkoğlu kendisinden beklenenden uzak bir performans sergilerken yaşadığı sakatlıkla oyunu yarıda bırakmak zorunda kaldı. Son dönemde mental anlamda oldukça yorulan Kerem’in dinlenmesi belki de ona çok iyi gelecek.
 Defans kurgusunda Abdülkerim’in eksikliği fazlasıyla hissedilirken üzerine Nelsson’u oyundan çıkaran sakatlık sonrası Kaan’ın geçici de olsa yaşadığı problem tedirgin etti.  Defansta yaşanan bu talihsizlikler Okan Buruk’un şapkadan yeni bir tavşan çıkarma zorunluluğunu doğurabilir.
İcardi sakatlık sonrası hala istenen seviyeye ulaşamadı. Mertens’in isteği hırsı Zaha, İcardi ve Tete üçlüsüne bulaşırsa şampiyonluk tuşuna basılmış diyebiliriz. Çünkü Mertens dün gece ateşi yaktı!"
Alper Mert,2,2024,Kısmeti tepenler,"Galatasaray gibi büyük bir takımda oynamak herkese nasip olmaz. Bu şansı bulan en iyi şekilde değerlendirmeli. Galatasaray’ın, Bandırmaspor’u mağlup etmesi bazı oyuncuların eline geçen fırsatı iyi değerlendirdiğinin ispatı olamaz. Örneğin Halil Dervişoğlu, Ndombele, Kazımcan üçlüsü için her maç ayrı bir umutla sahaya bakıyoruz. Ama her umutlu bekleyiş yerini hayal kırıklığına bırakıyor. Halil tek forvet oynayamadı. Kanatlara kaydı yine olmadı. Forvet arkasında şans buluyor yine olmuyor. Bir başka olmayan, olamayan isim Ndombele. Beklediğimiz, istediğimiz Ndombele hala ortada yok. Galatasaray’a geldiği gün sol bek krizinin uzun yıllar bittiğini düşündüğümüz Kazımcan eline geçen hiçbir fırsatı değerlendiremiyor. Biraz oynasa belki de sol bek transferine gerek kalmayacak, hayatının şansını elde edecek. Ama o istek ve hırsa maalesef sahip değil.
Bu üç isim dışında gözümüz yeni transfer Vinicius’un üzerindeydi. Brezilyalı ilk maçında golü buldu. Eleştirenler sabırsızca davranıyor. Zaha takımdan bağımsız tek kişilik gösteri yapıyor. Tutarsa iyi iş çıkıyor yoksa üzüyor!
Bandırma karşısında Galatasaray 2 gol yemez. Yiyorsa vurdumduymazlık vardır. Genci şans bulduğunda sahayı rakibe dar etmeli, fırsat bulan tecrübelisi ezip geçmeli. Oyun kalitesi düşer, çıkar ama hırs ve istek eksik kalıyorsa bu durum taraftarı rahatsız eder."
