Yazar,Ay,Sene,Baslik,Paragraf
Argun Darici,1,2024,Fenerbahçe klasiği,"Fenerbahçe klasiği oldu artık rakip alanda oyuna baskı ile başlamak. Oyunun hakimi olan Fenerbahçeli oyuncular çok gol pozisyonu da yakaladı.
Dzeko yine kaçırdı garanti golleri. Ya kaleci kurtarıyor, ya direklere takılıyor, ya dışarı atıyor... Ya da hiç olmadı rakibinin bir yerlerinden dönüyor vurduğu toplar Dzeko’nun. Şeytan bacağını kırdırmıyor Dzeko’ya! Önceki maçlarda gol atamayınca asabi olan Dzeko’nun anlaşılan kulağı çekilmiş ki bu maçta gereksiz sinirlenip arkadaşlarına ve kendine zarar vermedi.
Rakip alanda oynayan arkadaşlarını seyreden Serdar Aziz, konsantrasyon eksikliğinden rakibini kaçırdı. Livakovic de penaltı yaptırdı. Hatalı çıktı. Bu konuda çalıştırılmalı.
Fenerbahçe son birkaç maçtır sağdan Mert, soldan Ferdi ile rakip aut çizgisine inerek oynuyor. Mert haklı olarak yerleşti iyice sağ beke. Dolayısıyla önceki maçlarda tek taraflı sadece sol çizgiden Ferdi ile oynayan Fenerbahçe yok artık sahada. Hakem Cihan Aydın maçın başlarındaki avantaj oynatmadaki isteğini 90 dakikaya yayamadı. Penaltıda kesin ve emin bir kararla doğru çaldı düdüğünü. İyi çıkardı maçı. Ancak aynı Aydın, Fenerbahçeli Serdar’ın kendisini iterek kalaylamasına sesini de sarı kartını da çıkaramadı. Hiç yakışmadı bu zaafiyet Aydın’a."
Argun Darici,1,2024,İdman havası,"İsmail Kartal, Süper Lig’de ilk on birde yer vermediği oyunculardan oluşturmuş sahaya çıkan takımı. İlk dakikalarda uyum sorunu yaşayan Fenerbahçe’yi güzel bir atakta Lincoln’ün harika füzesi öne geçirdi. İkinci organize atakta yine Lincoln’ün asistinde Batshuayi ikinci golü yaptı. İkinci yarıda da gollerine devam etti Belçikalı forvet. Süre ve top aldığı zaman gollerini yapabildiğini gösterdi. Lig maçlarında Batshuayi son dakikalarda değil de 35-40 dakika oynayabilmeli ki gol atma becerisi körelmesin.
İkinci yarı peş peşe gelen gollerle sanki bir idman havasındaydı Fenerbahçeli oyuncular. Adanaspor’un Fenerbahçe’nin yanına yaklaşabilecek, oynayabilecek mecali yoktu. Lincoln ve Batshuayi her an ilk 11’de oynayabilecekleri sinyalini verdiler. Bartuğ ve King de iyiydiler. Bonucci, Fenerbahçe’nin en önemli, olmazsa olmaz oyuncusu olacak kesin. Krunic’in de her zaman kadroda yeri hazır olmalıdır. Takımı toparlayan, ileri-geri çalışan, tam aranan ön libero. Bu durumdan anladığım da İsmail, Crespo gibi isimler de kendilerine yer beğenecekler yedek kulübesinde.
Hakem Çağdaş Altay çok iyiydi, konsantrasyonu tamdı. Maçın tamamında verdiği kararlarda olduğu gibi avantajları oynatmakta da oldukça başarılıydı."
Argun Darici,1,2024,Gole doyduk,"Geçen maçtaki Cengiz Ünder şovundan sonra bu maçta da Dzeko nazire yaparcasına 3 golle ilk yarıdan gözlerimizin pasını sildi. Fenerbahçeli oyuncular futbol adına yapılması gereken güzellikleri nizami bir şekilde yerine getirdi. Rakibe üçüncü bölgede presli oynadılar, çıkarmadılar Konyaspor’u. Rakip kaleye çizgilerden inerek heyecan yaratan ortalar yaptılar. Merkezden de ver-kaçlarla çok kolay deldiler rakibin savunmasını. Taç atışını çabuk kullanarak rakip savunma arkasına da sarktılar.
Dzeko, Fred, Ferdi, İrfan Can çok iyiydiler. Maçın ilk golünde çiçeği burnunda yeni FIFA kokartı takan hakem Kadir Sağlam’ın gördüğü ve ‘Oyna’ dediği pozisyona ‘VARgıtay’  ‘Gel de bir bak ekrana’ dedi. Fenerbahçe’nin garanti penaltısını vermek mecburiyetinde kaldı uyur gezer, sözde FIFA hakemi Kadir Sağlam!
İkinci yarıda oyuna giren Batshuayi de gol tufanından payına düşeni alarak görevini yerine getirdi. Fenerbahçe’nin bu bol gollü galibiyeti olmasaydı geçen maçta 3 gol, 1 asistle oynayan Cengiz’in bu maçta yedek soyunması ciddi sıkıntı yaratabilirdi İsmail Kartal hoca için. Şampiyonluk yolunda ilerleyen Fenerbahçe’nin sorunları kendi kendine yaratmaması, takımın sinir uçları ile oynanmasına müsaade etmemesi gerekir."
Argun Darici,1,2024,Cengiz’in şovunu izledik,"Fenerbahçe istekli, ikinci ve üçüncü bölgede baskılı başladı maça. Meyvelerini de hemen gol olarak aldı. Kimse bu galibiyeti İstanbulspor ile sıklet farkına bağlamaya çalışmasın. Fenerbahçeli oyuncular göstere göstere yaptı şovunu.
Cengiz’in ilk golüne İsmail Kartal, oyuncusundan daha çok sevindi. Cengiz’in gole, motivasyona ihtiyacı olduğunu biliyormuş Kartal. Bu golden sonra sahada milli yıldızın bariz şovu vardı. Önce ayağının kayması ile kendi kalesine gol yaptırdı sonrasında takipçiliğini konuşturup 2. kez fileleri buldu. Devamında kendi klasına yakışır 2 gol daha attı. Cengizli Fenerbahçe adeta yağmur oldu yağdı İstanbulspor’un üzerine
Farklı galibiyete rağmen aslında Fenerbahçe bu maçta azımsanmayacak top kaybı ve pas hatası da yaptı. İsmail Kartal’ın bu gerçekleri de görmesi gerekir. Tüm bunlara rağmen Fenerbahçe birçok gol ve bir de penaltı kaçırdı. Hem tribünleri dolduran hem de TV’den izleyen taraftarına güzel bir pazar günü yaşattı.
Hakem Volkan Bayarslan bu maçta bile faul kararlarında hatalıydı. Ayrıca oyuncuları terbiye etme hakkını da nereden almış acaba Bayarslan? Ancak Fenerbahçeli Cengiz’in attığı üçüncü gol öncesi Serdar Aziz’e yapılan faulde avantaj uygulaması da çok iyiydi. Bu noktada hakkını teslim etmek gerekiyor Volkan Bayarslan’ın."
Argun Darici,2,2024,Kış uykusunda,"Fenerbahçe maça hiç konsantre olmamış. Mental olarak da hiç iyi hazırlanmamış. Bence esasen İsmail Hoca takımını hiç hazırlamamış ve Ankaragücü’nü hafife almış. Aynı zamanda İsmail Kartal çok yorulmuş ve ciddi yorgun da gözüküyor saha kenarında…
Orta sahada Zajc, Krunic, Szymanski kötü günlerindeydiler, gelene ‘geç’ dediler. Üçü birden kış uykusuna yatmışlardı sanki. Orta sahayı çok rahat geçen Ankaragücü’nde Chatzigiovannis’in 50 metre top sürerek attığı 2. gol muhteşemdi. Stoperler Serdar Aziz ve özellikle Bonucci çok bozuktu. Bu oyun İtalyan tecrübeye hiç yakışmadı. İsmail Hoca da hiç olmayacak şekilde Osayi’yi sol bekte başlattı, icat yaptı. İki gol yedikten sonra bekleri yer değiştirse de iş işten geçmişti. Sanki musibet gerekiyor doğruları yapması için İsmail Hoca’nın. Taktik, varyasyon hak getire bir oyun vardı Fenerbahçe’de.
15 milyon Euro’luk Cengiz ise iflah olmaz şekilde kötü oynuyor her maçta. Ara sıra gol atması  olmasa amatör kümede bile oynayamaz bu haliyle Cengiz! Son maçlarda ikinci yarılarda özellikle de uzatmalarda galibiyeti kurtaran Fenerbahçe’de her maç papaz pilav yemiyor tabii ki. Bu kez beceremediler maçı döndürüp kurtarmayı. Umarım iyi olmuştur bu mağlubiyet Fenerbahçe için. Acilen toparlanırlar!"
Argun Darici,2,2024,FENERBAHÇE FITIK EDİYOR,"Maça yine önde baskı ile başladı Fenerbahçe. İlk 15 dakikada Cengiz ve Dzeko kaçırdı. Sonrasında Kasımpaşa presi kırdı. Kasımpaşa da önde baskı ile oynayınca Fenerbahçe bocaladı çıkmakta.
Aytaç ve 17 yaşındaki sol ayaklı başarılı stoper Yasin şutlar denedi. Bir şut az farkla auta çıktı, diğer şutu Livakovic çıkadı. Djiku’nun kafası, Mert Hakan’ın şutu az farkla aut oldu.
İlk yarıda Kasımpaşa daha akıllı, organize ataklarla takım olarak ileri geri oynadı. Fenerbahçe dağınıktı. Taktik varyasyondan yoksun kişisel yeteneklerle oynadı.
İsmail Kartal’ın sürpriz yaparak ilk onbirde sahaya sürdüğü Mert Hakan her yerdeydi. Aşırı çabayla oynadı. Firikikten attığı gol de çok yakıştı Mert Hakan’a. Fenerbahçe seyircisinin her maçta görmek istediği Mert Hakan buydu aslında. Çok alkış aldı seyirciden Mert Hakan.
Kasımpaşalı stoperin kornerden gelen topa gerilerden gelerek kafayla vurup attığı attığı golü Fenerbahçe stoperleri, yerlerine mıhlanmış olarak seyrettiler. Onca iyi stoper elinde olmasına rağmen böyle bir golün yenmesinin sebebi anca ciddiyetsilik, konsantrasyon kaybetmenin sonucu olabilir. İsmail Kartal’ın oyuncularını özel olarak bireysel çalıştırmadığı kanısındayım. Fenerbahçe, yine eski yıllardaki gibi taraftarlarını fıtık ederek yolunda ilerlemeye çalışıyor."
Argun Darici,2,2024,Gençler pupa yelken,"26. haftada genç hakemler çok iyiydi. Aman nazar değmesin... Ama öne çıkan isimlere bakalım:
Beşiktaş-Konyaspor: Tugay Kaan Numanoğlu ile İstanbul bölgesi, hasret kaldığı, FIFA kokartını hak ederek göğsüne takan hakemine kavuşacak gibi. Tebrikler.
Ankaragücü- Galatasaray: Algoritmanın Galatasaray’ın kadrolu hakemi olarak kayıtladığı Ali Şansalan, penaltıyı da es geçen yanlış kararları ile yine şaşırtmadı. Aldığı maçlarla algoritmayı kendisine uyduran ilk hakem olarak tarihe geçebilir!
Rizespor-Fenerbahçe: Arda Kardeşler’in kötü hava ve saha koşullarında verdiği kararların hepsi tartışıldı. Pek iyi de değildi.
Pendikspor-Trabzonspor: Halil Umut Meler’in penaltısı yanlıştı. Darp sonrası sahada mağdur görüntüsü vermeyen, dik duran, psikolojik eziklikten kurtulan Meler’i görmek istiyorum. Şimdilik geçmişinden yiyor, yazık da ediyor.
Hatayspor- Sivasspor: Ümit Öztürk’ün görev alması, hakemlik için adeta günah! Yine başarısızdı. Verdiği penaltıyla çok güldürdü seyredenleri. İyice komik duruma düştü. Maskara olmamalı hakem!
Kasımpaşa- Karagümrük: Yorgun görünüşlü, uyurgezer Kadir Sağlam düdükleriyle herkesi iyice baydı. İnsan uykusunda bile daha doğru kararlar verir. FIFA kokartını taşıyamıyor!"
Argun Darici,2,2024,Zirve yarışına yelken açtı,"Her iki takım için de ağır saha ve şiddetli yağmur vardı... Fenerbahçe hocası İsmail Kartal maçtan önce sahanın nereleri su toplamış, ağırlaşmış oralarda pas yapmadan, kaleye uzaktan şutlarla oynamayı organize etmesi lazımdı. Ama Fenerbahçe paslarla kalecinin dibine kadar gidip pozisyon bulmak isteyince Rizespor oyunun hakimi oldu ilk yarıda.
Fenerbahçe’de ilk yarıda sadece Dzeko’nun bir tek tehlikeli şutu vardı onu da Rizespor kalecisi çıkardı. Ev sahibi organize atakta 27. dakikada golü buldu. Ferdi oyunu seyre dalıp ofsaytı bozduğunun farkında bile olmayınca golü yedirdi takımına. Ferdi’de özellikle son iki haftadır ciddi düşüş var. Oyunda ileri çıkamayınca Ferdi’nin savunma zafiyeti bariz göze çarpıyor. Sağ ve sol bekler hücumda çalışmayınca Fenerbahçe’nin atak gücü çok düşük oldu ilk yarıda.
Ağır sahada Fenerbahçe’nin çıtkırıldım, yıldızları Cengiz, Krunic, Szymanski çok pasif kaldılar. İkinci yarı İrfan Can, Mert Hakan ve Serdar’ı oyuna alan İsmail Kartal bir anda oyunu da lehine çevirdi. Bu üçlünün organize atağında Serdar Dursun ilk golü yaptı. Mert Hakan’ın çabalarını gole çeviren Dzeko hem takımının üzerinden kara bulutları dağıttı hem hocası İsmail Kartal’ı ipten aldı. İrfan Can’ın golüyle kesinleşen galibiyet şampiyonluğa yeniden yelken açılmasını sağladı."
Argun Darici,2,2024,Eskilere taş çıkarıyorlar!,"Galatasaray- Başakşehir mücadelesinde Cihan Aydın; seyirci baskısı, büyük takım baskısı hissetmeden güzel hakemlik yaptı. Sınırda olan, kırmızı denen pozisyondaki sarı kartında da doğruydu. FIFA’ya giden yolu açık olsun.
Fenerbahçe-Alanyaspor karşılaşmasından Çağdaş Altay gayet başarılı çıktı. Kırmızı kart denen, ayağı basma olayı sınırdaydı. Hakemin sarısına hak vermek gerekir. Ayrıca penaltı pozisyonunda Alanyasporlu oyuncu, Fenerbahçeli oyuncuyu kucaklamış; kucaktan kurtulmak isterken oyuncu da yeri boylamış. Nasıl penaltı vermesin? Oyuncu, penaltıyı hak etmesi için illa rakibinin kucağında mı kalmalı? Kucaklanan oyuncuya faul için hakemin neyi görmesi gerekiyor ki! Çağdaş Altay avantajları da cesaretle oynattı. Gösterdiği isabetli sarılarla maçın tansiyonunu düşürdü. Kısaca zor maçın içinden iyi çıktı.
Kayseri - Beşiktaş müsabakasında baygın ve yorgun bakışlı hakem Kadir Sağlam uzun süreden beri ilk kez güzel yönetim gösterdi ve tebrikleri hak etti.
Diğer maçlarda Zorbay Küçük, Burak Pekkan, Direnç Tonusluoğlu ve başarısız performans döneminden sonra Atilla Karaoğlan, oldukça başarılıydılar. Emre Kargın ve mental yorgun olduğu anlaşılan Abdülkadir Bitigen daha iyi olmalılar. Ali Şansalan’ın ise bu performansı ile algoritmadan hala nasıl şans aldığı merak konusu!"
Argun Darici,2,2024,Kabul edilemez!,"Fenerbahçe oyuna ön alanda baskılı başlamak istedi ama Alanyaspor’a dişini geçiremedi. Alanyaspor sertlikle vakit geçirmek isteyince, yere yatan her oyuncusu da yerden kalkmayınca Kadıköy’de sinirler gerildi. Bu da oyundan kopmasına neden oldu sarı-lacivertlilerin.
Dzeko ikinci yarı güzel bir kafa golü atsa da yine beklenen performansından uzaktaydı. Tamam Dzeko gol atsın diye oynatılıyor ama son maçların golcüsü Batshuayi’yi yedekte oturunca da hücumda sıkıntı yaşanıyor.
İsmail Kartal’ın ikinci yarıya Cengizi çıkartıp İrfan Can ile başlaması çok akıllıca bir hareketti. Savunma hatalarından yenen şok goller Fenerbahçe’nin oyununu da moralini de bozdu. Ancak oyuncular bilmeli ki kendisine rakip olabilecek bir takım varsa o da sahadaki onbir kadar kenarda oturan kaliteli ikinci onbir oyuncu olabilir. İkinci yarı başlarında hakem Çağdaş Altay’ın çok güzel görerek, tereddütsüz doğru olarak verdiği penaltı ile Tadic beraberliği sağladı. Fenerbahçe takımı geçtiğimiz sezonlarda küme düşme bölgesindeki takımlara kaybettiği puanlarla şampiyonluğu kaçırma tecrübesinde olan bir takım. Mutlu sona ulaşmak istiyorsa bu tür puan kayıpları yaşamamalı.
Alanyaspor kalesinde olan Fenerbahçe’nin eski futbolcusu kaleci Ertuğrul yaptığı kurtarışlarla ‘Livakovic’den çok daha az paraya ondan daha iyi oynarım’ der gibiydi adeta."
