Yazar,Ay,Sene,Baslik,Cumle
Ercan Taner,1,2025,Kaybolan savunma,"Bu oyunun içinde her bölgenin büyük önemi var. Sağ ve sol kanat savunmalar hem atak hem de defans anlamında büyük önem taşırlar. Kaan ve Berkan bizim ligde iyi oynarlar hatta maçın yıldızı bile olabilirler. İşte bizim jokerlerimiz diye taraftarı mutlu ederler. Avrupa’da ise işler başka gidiyor.
Adam kaçırma, pozisyon takibi ve atağa çıkmada iyi olmazsan rakip avantaj yakalar. Traore’nin kaleye bıraktığı Ajax golünde tipik bir savunma hatası yaşadı yine Galatasaray. Takım kötü oynamıyordu. Osimhen 2 pozisyonda gole çok yaklaşmıştı. Sarı kart görmesi kötü oldu çünkü cezalı konuma düştü.
İlk devre önce Sara, sonra Torreria ön plana çıkmışlardı. Torreria da cezalı duruma düştü yalnız. Bunlar iyi haberler değil kuşkusuz bundan sonraki maç için. Barış Alper ikinci yarı temposunu iyi attırdı ve driplingleriyle rakip savunmanın dengesini bozdu.
İkinci devre başlangıcı iyi gözüküyordu Galatasaray’ın. Ajax çabuk ataklar planlamıştı. Kendi yarı sahasına Galatasaray’ın yerleşme sini kabul etmiş gibi görünüyordu. Bekledikleri ani atağın karşılığını gol ile buldular. Savunma yine dengesiz yakalanmıştı. Galatasaray iyi oynarken Fitz-Jim Ajax adına 2. golü bulmuştu. Batshuayi oyundaydı. Çift santrfora dönmüştü Okan Buruk.
Baştan böyle başlansa bir şey değişir miydi? Cevabı hiç bilemeyeceğiz. Esas mesele takım savunmasında. İyi oynarken gol yemek epey moral bozar. Bunun çözümü teknik direktörde. Mertens yine etkili olamadı. Arka arkaya maç yükü bindikçe oyundaki etkisinin azalması yaşından dolayı gayet doğal. Zamanında Avrupa şampiyonluklarını leblebi gibi kazanan Ajax, eski gücünde olmasa bile evinde her zaman tehlikeli olan bir takım. Bunu dün akşam bir kez daha gösterdiler. Cezalılar kervanına Sanchez de katıldı. Osimhen’in son dakika golü yetemezdi. Üç oyuncunun cezalı olması Okan Buruk’u gelecek turda çok üzebilir."
Ercan Taner,1,2025,Sistemle fazla oynamayacaksın,"Fenerbahçe Kadıköy’de 2 isabetsiz şut ve 0 net gol pozisyonu ile devreyi kapattı. Göztepe bu ligin en zorlu takımlarından biri. Fenerbahçeli oyuncular ya bunun farkında değillerdi ya da ‘atarız eninde sonunda’ düşüncesine kapılmışlardı. Göztepe ceza sahası içinde sadece 4 kez topla buluşmak çok garip. Psikolojik olarak ve analiz anlamında bu durum nasıl açıklanır çok merak ediyorum. 3’lü defans anlayışında kanatların uçak gibi olması lazım.
Romulo’yu topla buluşturursan tehlikeli olur. Djiku, Çağlar ve Yusuf hava toplarını çok fazla yere düşürdüler. Göztepe’nin attığı golde en büyük hatayı Amrabat yaptı. Juan bu hatayı çok iyi değerlendirdi. Tadic bu maçta kayboldu.
Göztepe savunması ilk hatasında gol yedi. En-Nesyri, net hatayı affetmemişti. Bu gol, maçta yepyeni bir senaryoya yol açmıştı. Maximin ve Kostic’in oyuna girmesi ile takımın oyun iştahının yükselmesi, Göztepe’yi çok şaşırtmıştı. En-Nesyri’nin mükemmel kafa golü ve Oğuz’un kaleci Lis’i yanıltan şutu ile maç bir anda 3-1’e geldi. İlk yarı ile ikinci devre arasında dağlar kadar fark vardı. Bu durumda akıllara şu soru gelebilir. Zirveye yaklaşmak için hep kazanmak zorundasın ama oyun anlayışı ile bu kadar oynarsan işin zora girmez mi?
Devre 0-2 bitse ne olacaktı? İkinci devre oyun içindeki yüksek tempo, rakipten topu çabuk geri almak ve temaslı oyun ilk yarıda denenen sistemden vazgeçilmesi üzerine ortaya çıktı. Bitime 8 dakika kala Miroshi’nin attığı gol yine kriz ortamı doğurabilirdi."
Ercan Taner,1,2025,Kazanan daima haklıdır,"Osimhen kalitesi bir başka. Geriden rüzgâr gibi gelip, penaltıyı almak ve topu ağlara göndermek önemli.
Galatasaray’ın pres isteği vardı ama uzun sürmedi. Sara’nın yine 11’de olmaması orta alanı etkiliyor. Kaan Ayhan onun bölgesinin ilacı değil, bunu bir kez daha gördük. Maç şöyle bir hava verdi uzun süre; Okan Buruk, takım kolay gol yediği için “Biraz daha kont rol” demişti oyuncularına galiba.
Sallai savunma bölgesinde oynarken, “Ben bu yerin orijinal oyuncusu değilim” mesajını çok net verdi. İkili mücadelede veya rakip karşılamada her an kart görebilir.
Yunus rakibine yaptığı yumruğa benzer hareketinde kırmızı kart görse ne yapacaktı? Sinirler gergin, stres var herhalde.
Konyaspor maça iyi hazırlanmış fakat bilinçaltı düşüncelerinde “İstanbul’dan puan almamız çok zor” duygusu ile oynayınca puan alma ihtimalleri normal olarak azaldı.
Torreira sahanın her bölgesine baskıya gidiyor ama bir yere kadar. Sadece onun enerjisi orta alanın dinamizmini yüksek tutmasını sağlayamaz. Çünkü orta alan, üretim anlamında önemli işler yapamıyor. Rakipler Galatasaray’ın birinci bölgesinde iyi pres yaptıklarında çıkış mecburen uzun paslarla oluyor bazen dün akşamki gibi.
Mertens dün akşam temposuzdu. Daha önce oyundan alınabilirdi. Barış ve Yunus’un çalışkanlıkları takdire değer. Takım savunmasına da katkıları olumlu. Yalnız ana hedef, Osimhen’e daha fazla konfor sağlamak olmalı.
Bitime 10 dakika kala sakatlığını atlatan Sara takıma döndü. Bundan sonraki maçlar için orta alanın mimarı geri gelmişti.
Yeni transfer Ahmed Kutucu, Okan Buruk için önemli bir alternatif olabilir. Ahmed’in takıma hemen alışması kendisi açısından iyi olur ama büyük takıma hemen uyum sağlamak hiç kolay değil.
Dinamo Kiev maçı takımı ister istemez fizik kondisyon anlamında yıpratmış. Bu yüzden Avrupa maçı dönüşü alınan bu tip galibiyetler büyük önem taşır."
Ercan Taner,1,2025,Tatsız beraberlik,"Güçlü oyunu tarif etmek ister sek, Kadıköy’de Fenerbahçe’nin ilk 15 dakikadaki tarzı iyi bir örnek olur. Hani derler ya rakip nefes alamıyor, bunaldı. Gol gelmeliydi artık...
Baskılı dakikalar esnasında gerçeğe dönüşmeliydi bu düşünceler ama olmadı. Lyon önce tempoyu düşürdü. Maçın ritmini sıfırladı sanki. Yavaş oyun ve Fenerbahçe savunmasında boşluk arayışları başladı Fransızların. Mourinho bu kadar eksik varken savunmada yine 3’lü oynamayı tercih etti.
Bence haklıydı. Lyon’un deneyimli, üretken orta sahası ve çabuk forvetleri çabuk gol pozisyonu bulabilirdi.
Her şeye rağmen En-Nesyri ilk yarıda İrfan Can Kahveci ile birlikte taraftara gol sevincini yaşatacak pozisyonlara girdiler. Tadic yine oyun zekasını iyi kullandı. Yusuf çok genç bir oyuncu. Böyle maçlarda oynamak ve riske girmek onun için çok önemli. Sakin kaldı, aldığı topları iyi dağıttı. Defansif anlamda ilk yarı içinde kendisini çok beğendim. Çağlar aşırı stresli oynuyor. Her an hata yapabilirim düşüncesi oyununa yansıyor. Lyon, önce beraberlik garantisini almak için uzun süre tempoyu hiç yükseltmedi. İkili mücadelelerde yerde kalıp oyunu iyi soğuttular. Bir baktık bitime 30 dakika kalmış.
Maximin’de değişen bir şey yok. Topla oynamayı çok seviyor. Maçın içinde ona ayrı bir top verseniz ‘neden olmasın?’ diyebilir. Bu sezon önceki maçlarına göre Fred, Lyon’a karşı maksimum performans gösterdi. Geriden oyun kurma konusunda Fenerbahçe Avrupa maçlarında çok iyi olamıyor. Yeni gelen stoperler bu problemi çözebilecek mi göreceğiz. Dzeko dün oyuna girdikten sonra istediği konforu fazla bulamadı. Cengiz Ünder’e çok üzülüyorum. Son 8 dakikada oyuna giriyor... Bir an önce geleceğini planlaması gerekli.
Böyle maçlarda yenemiyorsan, yenilmeyeceksin. Gerçek şu, Lyon 1 puan almaya gelmişti ve aldı."
Ercan Taner,1,2025,Olmadı,"Duran toplar, özellikle de kornerler günümüz futbolunda çok önemli. İlk gol öncesinde sanki Arsenal maçı izliyordum. Arsenal Avrupa’da bu tarz topları en iyi kullanan takım. Okan Buruk uğraşmış, takımı çalıştırmış. Böyle geldi Sanchez’in golü. Abdülkerim şut denemelerini artırmalı. Uzaktan  iyi vurma yeteneği var. İkinci golde topu ayağından çıkardıktan sonra Dinamo’lu oyuncunun teması golü bayağı güzelleştirdi.
Galatasaray, Dinamo Kiev yarı sahasında uzun süre iyi pres yaptı, çabuk paslaştı ve kanatları iyi kullandı. Devre böyle bitiyor derken tartışmalı bir an yaşadık. Buyalskiy topu alıp sürdüğü anda top dışarda gibiydi. Çipli bir sisteme geçilmeli artık. Dünyanın en zengin kurumlarından biri olan UEFA bu tartışmaları bir zahmet bitirmeli. Vanat’ın attığı gol iyi giden havayı tatsız hale getirdi. İkinci yarıda Barış’ın pozisyonunda VAR penaltı uyarısı yapmasaydı, ikinci sarı, dolayısıyla kırmızı kart gören Barış oyunda kalamasaydı, maç epey kötüye gidebilirdi.
Osimhen’in penaltısı ile avantaj geri yakalandı. Her şeyi anlarım da, enkaz Dinamo Kiev karşısında tempoyu düşürmek bana çok anlamsız geldi. Resmen geriye yaslanmıştı ev sahibi. Dinamo Kiev bunaltmıştı Galatasaray’ı. Sonunda beklenen oldu. Yarmolenko aradaki farkı yine 1’e indirdi. Bu sezon 35 yaşında olan forvetin sadece 1 golü vardı. Maç başlangıçları ile ilerleyen bölümler arasında çok fark olmaya başladı Galatasaray’da.
Oyun içinde dakikalar geçtikçe büyük düşüş yaşanıyor. Gidişat iyi değildi. Yarmolenko’yu durdurmak bu kadar zor olmamalı diye düşünürken bu kez kafa ile golü attı.  Galatasaray takımı Avrupa’da yürümek istiyorsa acil takviye yapmalı. Gol için sadece Osimhen yetmez. Yunus ve Barış her maç sizi kurtaramaz. Dün akşamki maç gelecek adına iyi sinyaller vermedi."
Ercan Taner,1,2025,Maçı Tadic aldı,"Kaybedecek hiçbir şeyi olmayan takımlarla karşılaşmak zor olabilir. Adana Demirspor büyük mucize olmaz ise Süper Lig’e veda edecek. Böyle maçların başlangıcında hemen golü bulursanız dev bir adım atarsınız 3 puan için. Öyle olmayınca rakibin 5’li savunması size pek fırsat vermez.
En-Nesyri’nin direkten dönen topu en önemli fırsattı Fenerbahçe için. Hava hakimiyeti iyi olan Dzeko ve En-Nesyri’ye bir türlü istenilen toplar atılamadı. İrfan Can Kahveci ilk yarıda bekleneni verememişti. Böyle çok kapanan takımlara karşı şut arayışlarının mutlaka fazla olması gerekiyor. Adana Demirspor kontrataklarda kanatları iyi düşündü fakat güçleri sınırlı ve işi bitirecek forvetleri yok. Mourinho haklı olarak Lyon maçını düşünmüştü kadroyu belirlerken.
Sahada yer alan 11’in fazla zorlanmadan golü bulacağını hesaplamıştı herhalde ama Mourinho’nun düşüncesi sahaya yansımıyordu. İlk yarıda güçlü bir oyun görememiştik Fenerbahçe’den. En Nesyri’nin golüyle ikinci yarıya başlamıştı Fenerbahçe ama gol öncesi İrfan Can Kahveci’nin faulü VAR’a takılınca sıkıntılı süreç yine devam etti.
Barasi’nin kırmızı kart görmesi kağıt üzerinde Fenerbahçe’ye avantaj gibi gözükse de ev sahibinin kendi ceza sahası önüne tamamen duvar örmesine yol açmıştı. VAR hakemine dün akşam çok iş çıktı. İrfan Can’ın ağlara giden topunda faul bu kez En Nesyri’den gelmişti. Golün geleceği belliydi. Neden mi? Usta oyuncu Tadic oyuna girmişti çünkü. Asistini yaptı.
En-Nesyri iyi vurmuştu topa. Tadic mesaiye yeni başlamıştı. 2. golü de yine güzel bir şekilde hazırlamıştı. En-Nesyri bu ikramı da geri çevirmedi normal olarak. Maça Tadic’le başlamak, işi çok erken bitirmek demekti. Görüntü bize bunu anlatıyordu sanki.
Duvar artık yıkılınca Dzeko zorlanmadan attı üçüncü golü. Dün akşam Cenk Tosun Fenerbahçe formasıyla ilk golünü kaydetti. Bu maçta gelecek 3 puan zirveye bakışı değiştirecekti ve öyle de oldu."
Ercan Taner,1,2025,Kartal uçamadı,"Bizim ligin en başarılı takımlarından Samsunspor... Taktiksel disiplinleri çok iyi. Her oyuncu görevini ezberlemiş. Böylesine sistemini oluşturmuş Samsun karşısında zorlanacağı zaten belliydi Beşiktaş’ın...  Orta alanı çok iyi kapatan, topu hemen geri alan bir takım karşısında etkili olamadı Beşik-taş... Şans kapıya gelmişti. Immobile’nin şutu direkten dönmeseydi, golü bulacaktı ev sahibi...
Sahayı ortadan kapatan takımlara karşı en etkili yöntemlerden biri kanat organizasyonlarıdır. Sağ kanat bunu denedi, olmadı. Masuaku’nun olduğu sol kanat ise hücum yönünde çok etkisizdi.
İlk yarıda ev sahibi hiç korner kazanamadı ve sadece iki isabetsiz orta denemesiyle olumsuz görüntüsüyle Joao Mario, yine bekleneni veremedi. Oyun kuramadı, pas tercihleri kötüydü. Bu fizik gücüyle etkili olması zaten mümkün değil.
Son 30 dakikaya girilirken kanatları daha iyi kullanmaya başlayan Beşiktaş oyunun hakimi oldu. Kaçan gol fırsatları, yine direkten dönen top ile baskı iyice artmıştı. R.Van Drongele’nin kırmızı kart görmesi, oyun üstünlüğünün en belirgin özelliği oldu. Muçi’nin oyuna büyük hareketlilik getirmesiyle Samsunspor iyice kapandı.
Al-Musrati iyi niyetli olabilir, ama oyuna faydası yok. Rashica ikinci yarı etkiliydi, kanadını iyi kullandı. Rafa Silva çok pas hatası yaptı. Gedson Fernandes çok çalışıyor, ama inanılmaz top kayıpları dün yine fazlaydı. Orta saha oyuncuları bu kadar top kaybetmemeli.
Bodrumspor maçına oranla sahayı daha iyi kullanan Beşiktaş izledik maçın ikinci yarısında... Fakat beklenen gol bir türlü gelmedi. Semih daha erken oyuna alınsa savunma dengesi bozulmuş rakip savunma arasında daha etkili olabilirdi.
Orta alanda oyunu hücum yönünde toparlayacak ve sol kanatta maça ağırlığını koyacak bir kanat oyuncusuna acil ihtiyaç var."
Ercan Taner,1,2025,Beklenmedik puan kaybı,"Galatasaray ilk yarıda golleri bulabilirdi. Direkten dönen bir top ve kaçan fırsatlar vardı. Tempo iyi değildi yalnız. Defansif anlayışları daha fazla olan Torreira ve Berkan üretimden çok uzak kaldı. Düşüncede bu ikili ile başlamak dönen topları hemen almak veya top kapmak içindi her halde ama tutmadı. Kenar bekleri fazla hücuma çıkamadı ve bu yüzden Osimhen beklediği kanat toplarını alamayınca Barış ve Yunus’un etkili olmasına döndü hücum beklentisi. Barış kaçırdı, Yunus atamadı.
Hatayspor gibi ligin sondan ikinci sırasında bulunan bir ekip karşı- sında daha etkili olması gerekiyordu lider Galatasaray’ın. Sallai ve Kerem ile yapılan değişim gerekliydi. Abdülkerim’in çıkması beni şaşırttı. Bence risk almıştı Okan Buruk ama haklıydı. Hatayspor ilk devreyi Cemali’nin golüyle önde kapatmıştı. Rakip yarı sahada baskı, Ha- tayspor’un geri yaslanması penaltıyı getirmişti. Osimhen’in golü moral getirdi Galatasaray’a. Böyle anlarda girdiğin pozisyonları değerlendirmen gerekiyor. Mertens ve Barış net fırsatları gole çeviremedi. Çok şanssız bir gece yaşıyordu Barış.
İkinci yarı tam bir Galatasaray temposu izlemeye başlamıştık. Hatayspor tamamen kapanmak zorunda kalmıştı. Ev sahibi 3 pas bile yapamıyordu. Kerem Demirbay bu maçta ge- çen haftalara göre çok daha olumlu bir görüntü çizdi. Onun sayesinde orta alan iş yapmaya başlamıştı. Büyük baskıya rağmen gol gelmemesi dün akşama damga vurdu.
Kaçan pozisyonlara artık bireysel beceriksizlik demek gerekiyordu.  Aboubakar tam anlamıyla bitmiş. Saha içinde hiç etkisi yok. Zaman dolduruyor veya erken emekliliğin keyfini çıkarıyor gibi. Batshuayi’nin girişi doğru ama geç bir değişiklikti bence.  Hatayspor’un tek amacı otobüsü iyi park etmekti. Okan Buruk’un girip gol atacak hali yok sonuçta. İnanılmaz fırsatları kaçırırsan kazanamazsın. Sürpriz bir kayıp yaşadı Galatasaray..."
Ercan Taner,1,2025,Üçlü savunma üzebilirdi,"Savunmada üçlü oynamak hatalar ortaya sıkça çıkarsa sizi üzer. Hücumda çok iyi gözüken Fenerbahçe, ilk devre 2 gol bulurken, üç net pozisyonu değerlendirse soyunma odasına maçı bitirmiş olarak gidecekti.
Saha içinde derin boşluklar oluşunca topu kapan takımın hemen atağa geçtiğini gördük. Çağlar takımın boyunu uzatıyor. Çabuk atak yediğinizde bu durum büyük dezavantaj demek. Hücumda çift santrafora dönen Mourinho çok iyi karar verdi. En-Nesyri ve Dzeko hücumda olumlu yönde akışkanlık sağlayan önemli hamleler yapıyorlar. Mert ve Çağlar ile duran toptan golleri bulan Fenerbahçe, Pedrinho’nun golüyle maça yenik başlamıştı. Kramer’in beraberlik golünde savunmanın zamanlama hatası vardı.
Orta alanda kırılganlığı engelleyecek oyuncu yoktu Fenerbahçe’de ama bir usta vardı. Tadic kaleci Slowik’in hatasını affetmedi. Sakin kaldı, golü klas attı. Onun ağlara gönderdiği topu herkes kolay kolay gole çeviremez. Oğuz, oyunda kaldığı sürede iyi işler yapmaya devam etti. Fred, diğer maçların aksine Konya’da biraz daha kendine gelmiş gibi gözüktü. Dünkü Fenerbahçe, hücum bölgesinde iyi işler yaptı ancak kanat savunmaların atağa çıkmayı daha fazla gerçekleştirmeleri gerekiyor. Görünen o ki üçlü defans düşüncesinde Fenerbahçe formasıyla iki yeni stoper izleyeceğiz. Orta alana destek olan, sakin çıkmayı bilen, gerektiğinde iyi uzun pas atabilen oyuncularla üçlü savunma iyi iş yapar. Sol bölgede Kostic kesinlikle aranan oyuncu mu? Bence değil. Tahmin ediyorum o bölgeye de Mourinho’nun istediği bir oyuncu gelecek.
Ligin bitmesine çok var. Yarısı yeni sona erdi. Mesele seriyi bozmadan kazanmaya devam etmek. Yalnız Djiku ve Çağlar’la üçlü savunma yapmak size arka arkaya galibiyetler getirmez."
Ercan Taner,1,2025,Barış Alper sundu,"Sara olmayınca tatsızlaşıyor Galatasaray orta sahası. Onun pas trafiğinde çok başarılı olduğunu görüyorduk. Oyunun ritmini ayarlaması, duran toplardaki becerisi çok iyiydi. Sara, Torreira’nın oyun içindeki performansını da olumlu şekilde etkiliyordu.
Kerem Demirbay klas oyuncu kabul ama Sara kadar faydalı değil. Barış ve Yunus’un yüksek enerjileri ile rakip alandaki pres girişimleri takım için çok önemli. Bu baskıya Osimhen de katılınca kaybedilen topları ilk yarının sonuna giderken daha çabuk geri almaya başlamıştı Galatasaray.
Hatalar bu oyunda normal olarak çok belirleyici. Kaleci Muhammed’in yanlış pas tercihi sonrasında savunmanın dengesiz yakalanması, Osimhen ve Barış’ın iyi pas organizasyonu golü Galatasaray’a getirmişti. Önemli oyuncularından yoksun Başakşehir mücadele yönünden başarılı gözüktü. Bu istekli oyun ikinci yarıda yine devam ediyordu. Keny, Piatek’e mükemmel bir gol pası vermişti. Jakobs’un olduğu kanat hücum bölgesinde etkili değil.
Dün Mertens uzun süre etkisiz kaldı. Barış’ın attığı golde kaleci Muhammed kapattığı köşeden gol yedi. Gol öncesi Osimhen’in elle oynaması ile kendine avantaj sağladığı iddiaları tartışmaya açık bir andı. Yavaşlatılmış gösterimde elle oynama görülüyor. Galatasaray’ın savunma arkasına atılan iyi paslar tehlike oluşturuyor.
Savunmanın yumuşak karnı bu şekilde ve bu taktiği iyi uygulayabilen rakipler golü hemen bulabilirler. Kaan Ayhan erken sarı kart gördüğü için ikili mücadelelerde çok etkili olamadı. Sallai savunmasına yakın oynadı ama tehlikeli yerlerde faullere neden oldu. Ligimizde Galatasaray’ı Başakşehir gibi zorlayacak takım sayısı fazla değil, o yüzden çok önemli bir galibiyet oldu. Dün akşamki hava şartlarında çok iyi futbol beklemek hayalcilikten öteye geçemezdi. Lider yoluna devam ediyor."
