Yazar,Ay,Sene,Baslik,Cumle
Erman Toroglu,1,2025,"""Mourinho sağa sola akıl vereceğine...""","Geminin kaptanı Mourinho. Aldığı sarı kartlardan dolayı bu maçta kulübede yok. Fenerbahçe’nin oynayacağı en önemli maçlardan bir tanesi. Mourinho sağa sola akıl verip, rakipleriyle uğraşacağına dört tane sarı kart yemesin de böyle bir maçta gemiyi kaptansız bırakmasın.
Galatasaray kazandıkça sonra oynayan Fenerbahçe için bu maçlar hep köprüden önceki son çıkış. İlk yarı Göztepe istediği gibi oynadı, Fenerbahçe’yi oynatmadı. Top Fenerlilerde gözüktü ama hiçbir zaman Fenerbahçe oyuna hakim olamadı. Şunu özellikle belirtmek lazım; Göztepe gibi takımlara karşı Tadic ve Dzeko’yu beraber oynatamazsınız. Çabuk adamlar lazım, topu iyi kullanan adamlar lazım daha önemlisi fizik olarak müsait oyuncular lazım.
Nitekim ikinci yarıda Tadic’in oyundan çıkmasıyla Fenerbahçe’nin şekli değişti. Bir de öyle bir gol attılar ki argo bir laf vardır ‘Bir şey kaybedeceksen Arap Bağdat’tan gelirmiş.’ O gol hem takımı hem seyirciyi ateşledi. Göztepe defansı öyle hatalar yaptı ki üst üste Fenerbahçe’yi ateşleyen goller geldi.
En-Nesyri enteresan bir oyuncu. O boya ve cüssesine rağmen havaya müthiş yükseliyor. Tabiri caizse adam ‘Fenerbahçe Hava yolları’.
Maç 3-1 devam ediyor, kenar teknik adamlar yani Mourinho yine uyuyor. Onun tribünde olması büyük dezavantaj. Maç 3-1’ken ne lazım. Topa basacak, pas yapacak, rakibi sinirlendirecek adamlar lazım. Kulübede bunlar var. Ama bunu düşünemediler ve 82’de maç 3-2’ye geldi. Son düdüğe kadar stres yaşandı. Hakem açısından çok zor bir maç ama iki takım futbolcuları da art niyetli oynamadılar, futbol oynamaya çalıştılar, birbirlerine saygılı davrandılar. Bu da onun işini kolaylaştırdı.
Göztepe, aklı futbolda olan bir takım. Başka şeyler düşünmüyor. Onun için de hem maçları seyrediliyor hem de seviliyor. Çünkü güzel top oynuyorlar. Fenerbahçe maliyet olarak Göztepe ile kıyaslanamaz ama Fenerbahçe’nin teknik adamı böyle bir maçta sahada yok. Aslında sorun orada. Ama o hâlâ konuşuyor. İlk yarıdaki Fenerbahçe üzerinde ölü toprağı vardı ama ikinci yarıdaki Fenerbahçe 'şampiyonluk yarışında ben de varım' havasında oynadı. Çalışmayan, koşmayan yoktu."
Erman Toroglu,1,2025,Erman Toroğlu: Meler G.Saray'dan sana ne?,"İlk yarıda kötü bir maç. Konya hücumu hiç düşünmüyor. Fenerbahçe ve Galatasaray’la oynayanlar diyorlar ki ‘Biz maçı götürelim 80’e kadar 0-0, 1-0, sonra bir gol bulursak 1 puanı götürürüz.’ İlk yarıda sadece penaltı pozisyonu var. Tabi burada Konyalı stoperin büyük hatası var. Şöyle ki topla rakip arasına girmiyor. Zaten ağır adam. Arkadan gelen Osimhen topu çalayım derken Adil topa vurayım diye Osimhen’in tendonuna tekmeyi geçiriyor. Pozisyon net penaltı. Aslında Halil Umut Meler gibi bir hakemin bunu görmesi gerekir. Halil Umut Meler demişken daha da önemli bir tenkidim var ona.
Ahmed Kutucu oyuna giriyor. Bir dakika sonra sarı kart alıyor, doğru. Dört dakika sonra aynı oyuncuya net bir sarıyı gösterecek yüreği gösteremiyor Halil Umut Meler. Galatasaray’dan futbolcu atarsa herhalde tenkit edilirim diye korkuyor. Ama Halil Umut Meler sen neticeye tesir ediyorsun, Galatasaray’dan sana ne? O zaman aklıma şu geliyor aynı hareketi Konyalı yapsaydı atar mıydı? Bence atardı. Tabiri caizse aklıma şu geliyor: İmam-cemaat meselesi. Halil umut Meler bunu yaparsa diğerleri neler yapmaz. Ama bu çocuğun dayak olayından sonra kimyası bozuldu. Anlamadığım bir başka nokta daha var. Sen Galatasaray takımına geliyorsun, birinci dakikada sarı kart alıyorsun sonra o hareketi yapıyorsun. Atılsan, Galatasaray puan kaybetse ne yapardın? Aynı Kutucu 87’de bu kez elle oynuyor. Bu hareketleri yaparsa Galatasaray bu oyuncudan çok zarar görür.
Yunus’un dirsek-kol karışımında Konyalı futbolcu biraz işi abarttı gibime geliyor. Ona sarı kart gösteren Halil Umut Meler daha sarılık pozisyonlarda gösteremedi. İptal edilen Osimhen’in golü var. Bu pozisyonda ortalanan topa kafayı vuran ofsayt değil onun önün deki oyuncu ofsayt. Bu oyuncu hiç hareketlenmese gol geçerli sayılırdı. Ama topa doğru hareke edince kendine ve takımına avantaj sağlıyor. VAR yorumu böyle yaptı. Bana da uygun geldi.
İkinci yarıda maç biraz hareketleniyor ama Galatasaray yine iyi top oynamadı. Bir de sarı-kırmızılılar Osimhen’e zamanında top atmıyorlar. O yüzden de Osimhen ofsayta düşüyor. Osimhen gibi oyuncun varsa çabuk top atacaksın onun önüne. Zamanında top atsalar çok gol atacak.
Galatasaray seyircisi geçen maç maalesef Muslera’ya haksızlık yaptı. Muslera, bu Galatasaray takımını yıllardır ayakta tutan oyuncu. Kaleci demek yarım takım demektir. Bir maçta hata yaptı diye bu tarz futbolcuyu ıslıklamaya hakkınız yoktu."
Erman Toroglu,1,2025,Erman Toroğlu yazıyor: Yerli VAR çağırabilir miydi?,"İlk 45 dakika şampiyonluğa oynayan değil de orta sıralarda mücadele eden bir Fenerbahçe vardı. ‘Maçı alsak ne olur, almasak ne olur’ havasındalardı. Koca 45 dakikayı boşa geçirdiler. Aynen Galatasaray’ın Hatay’da yaptığı gibi. Rakibi de biraz küçük görmüşler. Öylesine mücadele ediyorlar. Rakip kim olursa olsun bırakın futbolu, sporun her branşında iyi mücadele etmezsen, kazanamazsın. Baktılar ki bu işin şakası yok, ikinci yarıda maça asılmaya başladılar. Zaten oyunun da şekli değişti. Adana Demirspor bir kişi eksik kalınca da ibre olduğu gibi Fenerbahçe’ye döndü. Kırmızı kart pozisyonu öyle bir pozisyon ki ya kırmızı vereceksin ya da hiçbir şey. Hakem, kırmızıdan yana kullandı. Hiçbir şey diyemezsin.
VAR açısından enteresan bir maç izledik. Şimdi ben soruyorum spor kamuoyuna: Yerli bir VAR olsaydı, bu pozisyonlarda hakemi rahat rahat çağırabilir miydi? Şimdi Fener seyircisi hakeme kızıyor iptal etti diye, belki de küfür ediyor. Hakemin ne günahı var? Halil Umut Meler’in görmediğini Danimarkalı VAR ekran başından gördü, cesaretle çağırdı. VAR doğru olanı yaptı, doğru karar verdi. Bizim hakemlerimizde olmayan şey şu: Cesaret! Hem sahada hem VAR’da cesaret olmayınca güven kalmıyor onlara. Güven de kalmayınca iş bu hale geliyor. Aslında hep şunu söyledim hala da söylerim. Bize yabancı hakem değil yabancı VAR’lar lazım. Bu VAR hakemleri en az 2 sene kalmalılar. Hem VAR’da olmalılar hem de VAR yetiştirmeliler. İki sene sonra belki cesaretli VAR’lar bizde de iş yapabilirler. Çünkü artık futbolda VAR hakemden fazla etkili. Çünkü hakemin önünde televizyon yok. Onun televizyonu var.
Aslında hatırlayın, bakın. VAR’ın size çok yabancı olmaması lazım. Neden mi? Yıllarca ben ‘Oynatalım Uğur’ diye yaptım bu işi. Televizyonun başında otur, ileri geri oynat. Ne oldu? Yıllar geçti oraya geldik. Şimdi VAR oynatıyor, oynattırıyor, sonra sahadakini çağırıyor. Yani artık futbolda ‘Oynatalım Uğur’ var, sahadakiler değil. Ama o da yürekli olacak. Veya bol bol yürek yiyecek."
Erman Toroglu,1,2025,G.Saray perişan etti ama böyle bir şey görmedim,"Bu yazıya başladığımda dakika 85’ti ve tabela 1-1’i gösteriyordu ama maçı seyretmeyenlere şunu söyleyebilirim bu dakikaya kadar maçın skorunun Galatasaray lehine 10-2 ya da 12-2 olması gerekirdi. Mübalağa etmiyorum. Bu kadar çok pozisyona girilip bu kadar gol kaçırılan maç bu sene görmedim. İkinci yarı Galatasaray sazı eline aldı, sağdan, soldan, ortadan Hatay’ı perişan etti ama öyle goller kaçırdılar ki seyretmeyenler inanamazlar.
İlk yarıda uyuyan Galatasaraylı oyuncular ikinci yarı baktılar ki pabuç pahalı, gaza bastılar. Gaza basınca da fark meydana çıktı. Ama futbol böyle bir oyun işte. Atamayınca atamıyorsun. İnanın girilen bazı pozisyonlarda topu  dışarı atmak içeri atmaktan daha zordu. Bunun yanında Aboubakar yerine hareketli bir santrfor olsaydı az girdikleri pozisyonları bile gol yapabilirlerdi. Şöyle özetlemek lazım. Bu senenin en renkli maçını izledik.
Böyle bir maç her zaman olmaz. Uzun yıllardır böyle maç seyretmedim. Mertens’e yapılan hareket bence penaltıydı. İlk yarıda Hataylı oyuncunun da koluyla oynadığı hareket bence penaltıydı.
Yerden sekiyor ama resmen eliyle oynadı. İthal VAR’ın çağırmaması da orada enteresan. Hata yapılır ama bu hatayı yeter ki kasıtlı yapmasınlar. Stadı düşünün olduğu gibi dolu. İyi bir takım gelince seyirci de stada geliyor. Galatasaray inatla gol pozisyonlarına girdi. İnatla da kaçırdı. Kaçırdıkça inatlaştı. İnatlaştıkça gerildi. Galatasaray’ın son haftalardaki en etkili silahı olan Yunus hiç yok. O olmayınca işler zorlaşıyor. Sara’yı da çok arıyor Galatasaray.
Hani derler ya 3 olimpiyat, 4 dünya şampiyonluğu gördüm böyle bir şey görmedim. Böyle bir maç izledim. Galatasaraylı bazı futbolcular gece yattıklarında ve sabah kalktıklarında bu maçı sanki rüya gibi hatırlayacaklardır. İnanamayacaklardır."
Erman Toroglu,1,2025,Erman Toroğlu: Böyle penaltı olmaz,"Bu yazıyı yazmaya başladığımda dakikalar 80’i gösteriyordu. Skor 3-2 Fenerbahçe önde. Peki maç nasıl gidiyor? Fenerbahçe biraz daha hücumlara etkili çıkıyor ama her an her şey olur. Dakikalar ilerledikçe sarı-lacivertliler geriledi. O yüzden Fenerbahçe’nin işi garantilemesi için gol bulması lazım bu anlarda. Peki Mourinho ne yaptı? Son 15 dakika takım bunalmış Mourinho hala arkaya, yana oyuncu değiştiriyor. Hayret ediyor insan. Orta sahaya oyuncu alsana kardeşim. Ne düşündüğünü anlamak mümkün değil. Futbolda koşmak önemli. Koşturmak da önemli. Neyi koşturmak? Topu koşturmak. Bir de kalite lazım. Şimdi hepsini beraber genç yaşta bulmak çok zor. Zaten bulsak Avrupa’ya gider. Fenerbahçe’nin attığı 3. golü düşünün. Tadic herkese göstere göstere film çevirir gibi gol attı. Usta işi. Ama işte bu tip topçular bize 24-25’te gelmiyor. İki takımın da defansı yan toplarda çok zayıf. Zaten skoru 2-2’ye getiren bütün goller yan top hatasından oldu. Yani 4 gol. Çağlar gol attı tamam ama golde yaptığı hata affedilir gibi değil. Öyle bir gol yedirirsen iki tane atman lazım.
Bu maç öyle bir maç ki sırat köprüsü gibi. Bu maçta Fenerbahçe’nin yaşayacağı puan kaybı şampiyonluğa havlu atmak demek. Tamam bir devrelik maç var ama 10-11’e çıkacak fark da kolay değil. Adamı psikolojik olarak yıkar. Rakibin kaç maç beraberlik hakkı var. Harca harca bitmez. Bu kötü senaryonun olmaması için Fenerbahçe’nin kazanması gerekiyordu. Bunu da bir şekilde başardılar. Tartışılan pozisyonlar var. Fenerbahçe’nin attığı ikinci golden önce bir kısım seyirci aut bir kısmı korner dedi. Karar doğruydu, pozisyon korner. Hakem atlayabilir ama yukarıdan da VAR acaba üfledi mi? Eğer üflediyse doğru üflemiş. Dzeko’nun topa hamle yaparken rakibin ayağına basmasında kasıt yok, ayağını da kaçıramaz o yüzden kırmızı olmaz. 67. dakikada Kostic’le Prip arasındaki pozisyonda ise öyle penaltı olmaz. Arkadaşlar artık o kadar çok b.kunu çıkartıyoruz ki her pozisyon penaltı her pozisyon faul tartışması. Futbol sert bir oyundur."
Erman Toroglu,1,2025,Osimhen futbol hırsızlığı yaptı!,"Hava da ağır zemin de. Hava ağır derken şundan bahsediyorum; Hem rüzgar var hem yağış var. Yalnız birisi olsa farklı olur. Bu durumda futbolcu yağışı ister, rüzgarı istemez. Yağışta top kontrolü yaparsın ama rüzgarda zorlanırsın. Bu tip sahalarda rüzgarı arkana alarak oynamak iyi gibi zannederler ama bence rüzgara karşı oynamak daha doğru olur.
Galatasaray’ın şekli belli. İyi top yapıyorlar, baskıyı beraber yapıyorlar. Bunu kesik kesik yapıyorlar ama yapıyorlar. Sonuçta rakibi zor pozisyonda yakalıyorlar. Peki Galatasaray bunu yaparken Başakşehir ne yapmalıydı. Hem rüzgar hem yağmur hem de zemin ağır. O zaman topu kendi kalenden uzakta oynayacaksın. Top sana gelene kadar rakibinin hata yapma şansı var. Sen bunu yapmayıp kaleciden oyun kurmaya kalkarsan, on kere kurarsın bir kere kuramazsın o zaman da golü kalende görürsün. Aynen dün akşam olduğu gibi. İkinci yarı Başakşehir hücum etmeyi düşündü. Fizik olarak da fena değiller. Baskılı da oynadılar ama Galatasaray’daki oyuncu kalitesi daha farklıydı haliyle. Öyle olunca da ortaya daha heyecanlı bir oyun çıktı. Maç 2-1 olunca da Galatasaray’da gerginlik başladı.
İki tane pozisyon var. Biri ilk yarıda Galatasaray’ın penaltı beklediği. Ayakla müdahale edebilecekken Başakşehirli oyuncu kafayla vurayım dedi, topu da görmüyordu. Top koluna geldi, istem dışı bir hareketti. Oyuncu topla oynamadı. Bence VAR’ın yorumu doğruydu, hakemi çağırmadı. Fakat ikinci yarıda Osimhen’in pozisyonu net kol. Osimhen koluyla topu çalıyor, bir buçuk pozisyon sonra Galatasaray gol atıyor. Yani futbol hırsızlığı yapan Osimhen topu çalarak, neticeye tesir ediyor. Peki şimdi bin tane yorum yapılacak. Galatasaraylılar farklı Fenerliler farklı.
Arkadaşlar VAR neden var? Adalet sağlamak için. Osimhen’in çaldığı top adaletli ise biz de ‘Evet’ diyelim. Yok adaletsizse haliyle ‘Hayır’ diyeceğiz. Ama maalesef Türkiye’de böyle. Almanya’da bir kent var ya 'Gersenkirchen' diye. Ben onu bizim futbolda değiştiriyorum: 'Yersenkirsen'. Galatasaray’da oyunun yükü futbolculara parçalanıyor. Mümkün olduğu kadar birbirlerine yardım ediyorlar ama sonunda her maçta biri çıkıyor neticeye tesir ediyor. Geçen maçlarda Yunus çok tesir etti. Dün gece de Barış Alper çok iyiydi."
Erman Toroglu,1,2025,Hatadan döndüler,"TFF Başkanı İbrahim Hacıosmanoğlu, ‘VAR yerli olacak’ dediğinde aynı fikirde olmadığımı kendisine söylemiştim. Gelinen noktada, hatadan döndüler. Ben 4-5 senedir yabancı VAR’dan yanayım. Oturduğun yerden pozisyonları göremiyorsan bir sakatlık var. Ya kabiliyetsizsin ya da ince hesap yapıyorsun. Başından beri yabancı VAR’ın gelmesini savunuyorum. Yeni TFF iyi niyetli çalışmalar yaptı, Türk hakemlere sahip çıktı ama onlar bu güveni boşa çıkardı. Yabancı VAR getirme kararı kesinlikle doğrudur. Tabi yalnız VAR değil VAR’da çalışan teknik elemanları da biraz gözetim altına almak lazım. Bazı görüntüler geliyor bazı görüntüler gelmiyor. Bazı görüntüler de bazılarının işine geldiği gibi geliyor veya gelmiyor. Bu olay da en az VAR kadar önemli. Genç hakemler iyi eğitim alırsa 3-4 sene sonra VAR’da Türk hakemleri olabilir ama şu anda değil.
Türkiye Futbol Federasyonu (TFF) hemen hemen her maçta yaşanan hakem hatalarında çözüm için çareyi yabancı VAR hakeminde buldu. İbrahim Hacıosmanoğlu başkanlığındaki yönetim kurulu bugün gerçekleştirilecek toplantının ardından ‘Yabancı VAR’ kararını açıklayacak. Geçen sezon 32. haftadan itibaren kritik maçlarda uygulanan sistem bu sezon ligin kalan bölümünde devreye girecek. Ancak TFF ince eleyip sık dokuyor. Geçen sezon genellikle Portekizli hakemler davet edilirken bu kez daha kaliteli isimlerle anlaşma zemini aranıyor."
Erman Toroglu,1,2025,Bu oyunla konuşmaya hakkın yok,"Fenerbahçe kötü futbol oynuyor bu bir gerçek. Çünkü seyircisi Galatasaray’la karşılaştırma yapıyor. Fenerliler diyorlar ki, ‘Yahu kardeşim bizim takım bir şey oynamıyor, doğru dürüst gol atamıyor.’ Hareketlilik yok. Tamam Galatasaray da çok iyi değil ama onların oynadığı oyun, 90 dakikanın içinde bölüm bölüm keyif veriyor. Fenerbahçe seyircisi o keyfi alamıyor.
Mourinho bazı şeylerde haklı olabilir. Galatasaray’ın maçlarındaki hakem kararlarına tepkisi de olabilir ama senin işin önce takımına iyi futbol oynatmak. Hatay takımının neredeyse yarısı eksik. Hocası yok. 17 yaşındaki stoper Yiğit’le oynuyorlar. Dün iki takım arasında bu kadar fark var mıydı? Birinin para değerine bakıyorsun herhalde 20 misli fark vardır. O zaman senin takımın çıkar çatır çatır top oynar, harika işler yapar. Sen dersin ki ‘Kardeşim ben futbol oynuyorum, gollerimi atıyorum ama Galatasaray’a bak hakemleri arkasına alıp yürüyor.
Benim takımım da iyi futbol oynuyor ama hakemler bana yardım etmiyor.’ O zaman yerden göğe kadar haklı olursun. Sen bir şey oynamıyorsun sonra da konuşuyorsun. Hiçbir şekilde hakkın yok. Bu yazıyı yazmaya başladığımda dakika 86’ydı ve skor 2-1’di. Seyirci ‘Yönetim istifa’ diye bağırıyordu. Bundan sonraki dakikalarda Hatay gol atsa ne olurdu? Veya Fenerbahçe 3’ü atsa Fenerbahçe mutlu mu olacaktı? Hayır! Bu kadar basit.
Bakın hiç teknikten, taktikten bahsedebildik mi? Bahsedemedik. Niye? Çünkü öyle bir teknik, taktik de yok. Fenerbahçe yan top oynuyor, geri pası yapıyor. 20 tane pas yapıyorlar, 10 metre mesafe kat etmiyorlar. Çünkü orta saha ve ileri de alan boşaltacak, yalancı deparlar atacak futbolcuları yok. Hepsi top gelsin oynayayım diyor. Türkçe de bir laf var. Senin anan güzel mi? O zaman bu topu ben de oynarım. Mücadele yok, heyecan yok, hırs yok. İşte Fenerbahçe! Düşünün kendi saha ve seyircisi önünde Fenerbahçe hakemi bile zorlayamıyor. Ne kadar kötü bir futbol oynadığının en güzel anlatımı bu olsa gerek. Hakem yürüye yürüye maç yönetti. Niye koşsun ki? Fenerbahçeli futbolcular koşmazsa o niye koşsun? VAR yardımıyla kazanılan pozisyon net penaltıydı. Galatasaray maçında önceki gün yazdığımız Jacobs-Hugo pozisyonundan bir farkı yoktu."
Erman Toroglu,1,2025,"Cesaretli olun, acımayın","Galatasaray’ın kazandığı penaltı çok su götürür. Bir laf var hani ‘Bu pilav çok su kaldırır’ diye. Bir defa oyuncuların eşleşmesi yanlış. Göztepeli Djalma Silva kısa boylu, uzun boylu Kaan Ayhan ile topa çıkıyor. Kaan Ayhan daha yükseğe sıçrıyor, Djalma yükseğe çıkayım derken eli, kolu Galatasaraylı oyuncunun yüzüne geliyor. Hakem olarak buna oyunda el veriyorsan yani faul veriyorsan o zaman penaltı vereceksin. Ama dünkü hakem oyunu biraz fazlaca kesti. Yani bu pozisyonlarda genelde verdi. O zaman hakeme bir şey diyemezsin. Hakem genç bir hakem, fiziği de iyi ama biraz daha oynatmaya çalışması lazım. Ama şöyle bir pozisyon sana göre-bana göre. Benim oyun anlayışıma göre ben vermem. Çünkü sert oyun, ikili mücadele. Bu tür mücadele İngiltere’de Almanya’da verilir mi? Belki veren olur onu da bilemem.
Sonra Göztepe’nin golü geldi. Romulo, 35 metre top sürdü. Hem de Sanchez arkasındayken. Sanchez topla koşan oyuncuyu yakalayamadı. Zaten Sanchez ve Abdülkerim’in en büyük zaafı bunlar. Arkaya atılan toplarda rakipler kolay gol pozis- yonu buluyor. Gündüz oynanan maçta Başakşehir Teknik Direktörü Çağdaş Atan diyor ki, “Hakem benim oyuncularımı kovaladı. 3 kartı olanlara sarı kart göstererek Galatasaray maçında kasıtlı olarak oynamamaları için uğraştı.” Peki dün Barış Alper hakemin kararını beğenmedi, hakemi alkışladı. Net sarı kart. Kart görse haftaya oynayamayacaktı. Nereden bakarsanız bakın zaten hakemlerimiz burada kaybediyorlar. Kendini alkışlayana acımayacaksınız. Acırsanız acınacak hale düşersiniz. Yaşınız çok genç. Bu yaşta cesaretli olamazsanız, yaşlanınca çok şeyiniz kaybolur. Okan uyandı, bitime on dakika kala Barış’ı oyundan aldı. Okan, hakemden daha iyi pozisyonları kovalamış.
Yunus’un attığı golde özellikle sağ ayağı ile o vuruşu yapması çok güzeldi ama Mertens’in araya bıraktığı top süper kaliteydi. Bütün defansı oyundan düşüren bir toptu. İşte kaliteli oyuncular bir pozisyon buluyor skor değişiyor. Göztepe kalecisinin de hatasını atlamayalım. Takımına ayak uyduramadı. Hava toplarında çok çekingen çıktı. Torreira’nın pozisyonu penaltı değil. Dirseği kapalı. Ama Göztepe’nin 76. dakikadaki atağında Jacobs, Victor Hugo tam topa vuracakken kalçasını koyarak rakibini bozuyor. Bu pozisyon net penaltı.  Galatasaray’ın iptal edilen golünde, VAR inanılmaz uzun sürdü, sonra ofsayt çıktı. Niye o kadar uzun sürdü anlamak mümkün değil. Maç 2-1 ve on dakika uzatma olunca Galatasaray’da panik başladı. Bu maç gösterdi ki Galatasaray fizik olarak hazırlıklı değil. Özellikle Avrupa maçlarında bu onlara çok lazım.  Galatasaray’ın stadında bu seyirci önünde oynamak kolay değil. Göztepe kendi oyununu ortaya koydu, fizik olarak ayakta kaldı. Sonuna kadar mücadele ettiler. Onları da tebrik etmek lazım."
Erman Toroglu,1,2025,İşte yapının özeti bu,"İki grup var: Serdar-Cüneyt Çakırcılar ile karşı taraf. Bunların adamları her yerde. Ya İngiltere-Almanya modeli gelecek ya da Türkiye’deki hakem rezilliği devam edecek.
Hakem işlerinde neler oluyor? ‘Gruplar var’ dediler, ‘Yapılanma var’ dediler. Dediler de dediler… Şimdi şunu söyleyelim; hakemlik şu anda iki gruba ayrılmış durumda.
Serdar Çakır-Cüneyt Çakırcılar ile karşı taraf. Bu yıllardır devam ediyor. İlk grup yani Serdar-Cüneyt grubu kendilerine itaat edecek hakemlerden kurulu bir düzen istediler yıllarca.
Karşı grup da bunlara isyan edip, ‘Genç çocuklar çıksın, hak edenler bu işe devam etsin’ dediler. Bunların basında da adamları var, TFF’de de adamları oldu, kulüplerde de oldu. Hani ‘Yapılanma’ diyorlar ya işte yapılanmanın özeti bu.
Şimdi bu TFF Başkanı bu yapılanmayı parçalamak istiyor. Amma velakin size birkaç örnek daha vereceğim.
Serdar Tatlı MHK’sı, Yusuf Namoğlu MHK’sı, Zekeriya Alp MHK’sı bunu parçalamak istediler. Önce onlar gitti, sonra federasyon başkanları gitti.
Şimdi Hacıosmanoğlu bu sistemi çok doğru işler yaparak değiştirmek istiyor. Hacıosmanoğlu bu yapılanmayı fark etti.
Çünkü bunun içinde kulüpler var. Bombanın pimini çekti, kulüplerin kucağına attı. ‘Bütün yetki sizde olsun’ dedi ve oyun başladı.
Bu iş ya İngiltere, İspanya, Almanya gibi olacak ya da eski sistem sürecek, Türkiye’deki hakem rezilliği devam edecek.
İbrahim Hacıosmanoğlu devam ederse bu iş toparlanır, ammaaaaa Hacıosmanoğlu’nu isyan ettirip gönderirlerse (O meşhur yapının ustaları) tekrar eski sistem devam eder. O zaman da herkese hayırlı işler, bol güneşli günler dilerim.

Beşiktaş’ta enteresan işler oluyor. Türkçe’de bir laf var ya; gelen gideni aratıyor. Düşünün Hasan Arat büyük iddialarla geldi, ‘Onu yapacağım, bunu yapacağım, şöyle-böyle’ dedi.
Onun hakkında da şaibeler çıktı. İşin daha enteresanı, Hasan Arat, Fikret Orman’ı aratır hale geldi. Yani Beşiktaş’taki muazzam orta oyununa dikkat edin. Hasan Arat hâlâ konuşmuyor.
Seçimden önce konuşacaktı, seçimi bahane etti. ‘Seçimden sonra konuşacağım’ dedi. Çok merak ediyorum ne söyleyecek kendisiyle ve ekibiyle alakalı?
ÇÜNKÜ camia Hasan Arat’a çok güvendi ve müthiş bir oyla kazandı. Ama şimdi Hasan Arat’ın uzantılarına inanılmaz bir tokat attı camia. İçeride öyle dedikodular var ki hangisi doğru bilemem.
Ateş olmayan yerden duman çıkmaz. Yakında çok şey etrafa dökülecektir. Yalnız şunu söyleyeyim: Serdal Adalı’nın işi çok çok zor. İnşallah başarılı olur. Çünkü Beşiktaş Türkiye’ye lazım bir camia. Takımıyla ve özellikle seyircisiyle. (Yıllarca bana küfür ettiler. Canları sağ olsun!)

Sergen geldi, Beşiktaş şampiyon oldu. Aboubakar ve uzantılarına rağmen şampiyon oldu. Sergen, Abuobakar ve ekibinden çekmesine ve bunu kulüp başkanına söylemesine rağmen Beşiktaş’ta başka işler uygulandı. Bunlar daha sonra konuşulabilir. Ama şu anda Sergen, kendini uçuruma atmaz. Sağlama alır. Bu yönetimin 5 aylık bir ömrü var. Sonra seçilirse 3 yıl daha kalacak. Şu da
bir gerçek Beşiktaş’ta ‘İkinci Feda Dönemi’ başlayacak. Bu Feda Dönemi’nin sonu inşallah uçurum olmaz. Çünkü sabır lazım. Biz millet olarak da sabırlı değiliz. Ama şu var; Süleyman
Seba’dan sonra gelen başkanlar hep Beşiktaş’tan aldılar. Hiçbir şey vermediler. Altını çizerek söylüyorum. Süleyman Seba’dan sonra Beşiktaş’a tesis, arsa kazandıran başkanlar var mı? Hiç getirmediler, hep götürdüler!

Fenerbahçe Kulübü, Ali Koç döneminde futbolcu satarak çok para kazandı’ diyorlar. Peki alırken ne oldu? 36-37 yaşındaki adamı alırsan elinde patlar.
Şu anda Fenerbahçe kimi satarsa para kazanır, bir düşünün? Ticarette bir olay vardır, alırken kazanırsın satarken değil. Diyeceksiniz ki ‘Onu da mı biliyorsun lan Erman Toroğlu!’ Evet biliyorum çünkü 20 sene kabzımallık yaptım. Patlıcandan biberden özellikle de hıyarlardan iyi anlarım.
Talisca’yı aldığında şampiyon olacak mısın? Galatasaray şampiyon olursa o da elinde patlayacak. O zaman bu kadar para vermeye değer mi? Çünkü Talisca, Avrupa’dan gelmiyor Arabistan’dan geliyor. 3.5 yıllık kontrat ister. Kontrat bitiminde 35 yaşında olacak. O zaman rahmetli Cahit Sıtkı Tarancı aklıma geliyor. Yaş 35 yolun yarısı eder. Ama bizde 38-40 yaşında oynayanlar var futbolu."
