Yazar,Ay,Sene,Baslik,Cumle
Fatih Soylemezoglu,1,2024,Go home Dusan!,"Geldiği günden beri başarılı koçluğu kadar etik dışı davranışlarıyla da gündem olan Beşiktaş koçu Dusan Alimpijevic, geçen hafta sonu eski takımı Bursaspor’a karşı oynadıkları maç sırasında rakip takım yedeklerine doğru cinsel organını tutttu. Bu hareketle tüm sporseverleri hayretler içinde bıraktı.
Aslında Alimpijevic’in yaptığı bu kabul edilemez terbiyesizlik dışında, geldiği günden beri gösterdiği kural tanımamazlık rahatsızlık veriyordu. Son hareket hepsinin üzerine madalya olarak tüy dikti!
Hatırlayabildiklerim şöyle: Bursaspor’da sezona başlamadan bir hazırlık maçında koridorda hakemin üzerine yürüyüp tartaklamak gayesi ile itmesi... Darüşşafaka’nın beyefendi koçu Yakup Sekizkök’ün parmaklarını tutup çevirerek kötü sözler sarf etmesi... Erşan Kartal olayında baş aktör olması... Bahçeşehir’e Dejan Radonjic koç olunca, bu takımda daha önce görev yapan Türk koçları küçümseyip kendi vatandaşını övmesi... Ayrıca... O küçümsediği koçları göreve getiren kişinin, şu an Bahçeşehir’in kurucusu, halen Beşiktaş’ın İkinci Başkanı Sayın Hüseyin Yücel olduğunu bile umursamaması!
Örnekler çoğaltılabilir. Ancak bu durum bize gösteriyor ki; ülkemizde yabancıların koçluk yapma kriterlerine bu tip terbiye, etik ve tekrar eden düzen bozucu davranışlarla ilgili bir madde ilave etmek gerekiyor. Yoksa bu şımarıklıkla burayı arka bahçelerindeki oyun alanına çeviren bu tipler, Türk insanın onuru ile alay etmeye devam edecek.
Merak ediyorum; bu şahıs aynı hareketi kendi ülkesinde, Kızılyıldız-Partizan maçında yapabilir mi? Ya da bir Türk koç, Sırbistan’da aynı hareketi yapabilir mi? Cevabını vereyim: Yapamaz tabii ki, adamı parkeye gömerler!
Dusan Alimpijevic en ağır ceza verilerek evine yollanmalı ki, Türk gençliğine doğru mesaj verilsin.
2003 yılında Pascal Nouma benzer bir hareket yapmış; bedelini 7 ay ceza ve Beşiktaş’tan kovularak çok ağır bir şekilde ödemişti. Nouma olayı sonrası efsane başkan rahmetli Süleyman Seba’nın açıklamasını hatırlamakta fayda var:
“Pascal Nouma, Beşiktaş’a yakışmayan bir hareket yaptı. Yönetim de kendine yakışan bir hareketle mukavelesini feshetti. Atatürk’ün ‘Ben sporcunun zeki, çevik ve ahlaklısını severim’ sözü vardır. Bu adam, bu sözlerin hiçbirine yakışmıyordu. Yönetimi tebrik ederim. Beşiktaş’a yakışanı yaptılar. Bu karar diğer futbolculara da örnek olacak. Bu tip adamın Beşiktaş’ta ne işi var?”
Başka söze gerek var mı?"
Fatih Soylemezoglu,1,2024,Ne hamam var ne de tellak!,"Maçın henüz başında hücuma çıkarken kaptırılan toptan yenilen gol, 12. dakikada Sivas’ın kaleci ile karşı karşıya kalması, 23’de Sivas forvetinin beceriksizliği derken, koca ilk yarıda tatsız tutsuz bir oyun. Öyle ki, Beşiktaş’ın kaleyi bulan şutu yok. Maçı izlerken o kadar sıkıldım ki, acaba TCK’daki ‘ev hapsi’ cezasının yerine Beşiktaş maçlarını izleme cezası mı verilse diye düşündüm! Sahada ne yaptığını bilmeyen, sadece rakibin pozisyonlarına göre reaksiyon vermeye çalışan garip bir vurdumduymazlık vardı. Güya hamama giren terler derler. Ama Sivas’ta hamam bile soğuktu.
Oysa geçmişte bu takımın formasını sahaya serseniz, rakipler için büyük bir tehdit unsuru oluştururdu. Şimdi iş öyle bir hale gelmiş ki, rakipler Beşiktaş’ı çantada keklik görmeye başlamış. Bu kadar ruhsuz, mücadeleden uzak, özgüvenini kaybetmiş bir takımı ayağa kaldırmak Santos için de zor olacak gibi görünüyor.
İkinci yarının başında Cenk Tosun’un direkten dönen topu, peşinden Ghezzal’ın kaleci ile karşı karşıya kaldığı pozisyon ile saman alevi gibi parladılar ama ilerleyen dakikalar gösterdi ki, değişen bir şey olmayacak.
Beşiktaş'ın durumu için her türlü bahane üretilebilir. yanlış kadro oluşturulması, teknik direktör hataları, futbolcuların formsuzluğu, sakatlığı, askerlik hizmeti gibi Afrika Kupası’na gitmeler vs. vs. ama sahaya çıkınca mücadele etmemenin nasıl bir bahanesi olabilir, onu bilemiyorum!"
Fatih Soylemezoglu,1,2024,Penaltı ipten aldı,"HENÜZ 30. saniyede kaleyi yoklayarak, ‘Biz geldik’ diyen Fenerbahçe ilerleyen dakikalarda rakip altı pas üzerinde yaptığı presle Başakşehir’i ilk dakikadan itibaren bunaltmaya başladı. İsmail’in 12. dakikada, Oosterwolde’ye 20. dakikada haklı sarı kartlar çıkınca gözlerim hemen İrfan Can’ı aradı. Tabii ki arkadaş beni yanıltmayarak ‘Yıldırım Ekipler Amiri’ gibi hakemin dibinde bitti! ‘Niçin bu çocuk uyarılmaz antrenörü ya da yöneticileri tarafından’ diye düşünürken, ekrana İsmail Kartal’ın da itiraz eden görüntüsü geldi ve o an anladım ki ortada bir imam-cemaat ilişkisi var. Burun farkıyla şampiyonluğun belirleneceği ligde ilerleyen günlerde bakalım hangi oyuncu takımını yakacak saçma sapan bir kart görecek, ben de “Ben demiştim” diyeceğim!
FIGUEIREDO’NUN 37’de hızlı hücumda itilmesini bir hakem nasıl değerlendiremez anlamakta zorluk
çekiyorum. Figueiredo’nun 45+2’de sarısı varken, rakibin ayağına neredeyse kırmızı kartlık basarak ‘At beni’ demesi, incelenmesi gereken bir vaka. Çünkü bu kartı görmek normal zekada bir oyuncunun yapacağı şey değil.
NEREDEYSE 2. yarı oyun Başakşehir kalesine 30 metre mesafede oynandı. Figueiredo’nun atılması güzel giden maçın bütün ayarlarını değiştirdi. Maçın geri kalanı eksildiği için etten duvar ören rakibin açığını arayan takımın mücadelesi şeklinde sıkıcı bir hal aldı.
FENERBAHÇE’Yİ penaltı ipten alırken kartlarını yerinde kullanan hakemi tebrik eder, bu konuda yönetici ve antrenörleri neden bu kadar eleştirdiğimi anlamaları için Keny’nin kırmızı kartına bakmalarını tavsiye ederim."
Fatih Soylemezoglu,1,2024,Galatasaray'a her yer...,"Öyle bir müsabaka düşünün ki en önemli rakibiniz sizin puan kaybınızı ve geride kalmanızı içine sindirememiş adeta bir şans daha tanımış. Başkan Dursun Özbek bulunduğu konum itibarıyla ağzına dahi almaması gereken ‘siyasi lakırtı’ ile kendini bitirmişken federasyonu işgale devam eden, futbol tarihimizin skandallar ödülüne layık muhteremi hâlâ yeraltında saklanmaya devam ederken bizden saha içerisine konsantre olmamız bekleniyor.
Görünen o ki daha çok bekleyeceksiniz. Siz ki spordan ömür boyu men edilen ‘yumrukçuyu’ KBV toplantısına alıp helalleştiniz, işte sırf bu nedenle sizler olduğunuz sürece konsantrasyonumuzun önceliği saha içi olmayacak. İlk 5-6 dakikalık Trabzon baskısını savuşturup, erken golü bulan Galatasaray devreyi domine etti. Kadro dışı bırakılan oyuncularla ilgili Abdullah Avcı’nın, “bilgim dışında alınmış bir karar” söylemi aklıma şu soruyu getirdi; Sayın Avcı teknik direktör olarak bilginiz dışında başka hangi kararlar alınıyor? Anlaşılan o ki orada da yönetici sorunsalı tüm hızıyla devam ediyor.
2. devreye “Bize her yer İstanbul” der gibi moralli başlayan Galatasaray; enerjisi, sahaya yayılımı ve oyuncu kalitesinin getirdiği tarihi farkla hedefe gidiyor olmanın mutluluğunu yaşadı.
Burada Galatasaraylı yöneticilere tavsiyem belediye seçimleri için çalışmalardan fırsat bulurlarsa, bir ara Torreira ve Abdülkerim’e akılsızca aldıkları sarı kartların hesabını en ağır şekilde sormaları. Yoksa öyle bir yerde yanarlar ki İBB başkan adayı bile acılarını hafifletemez."
Fatih Soylemezoglu,1,2024,Haram size o makamlar,"Bundan 20 gün önce Kayseri-Fenerbahçe maçı sonrası, Kayseri başkanının açıklamaları şöyleydi: “Arkadaşlar sakin olalım. Hakem hata yapabilir, hiçbiri düşmanımız değil. Biz sahada kardeşlik ve dostluk istiyoruz..”
Bunun üzerine şu metni 20 Aralık’ta kaleme almıştım: “Öncelikle Kayserispor başkanı Ali Çamlı’yı kutluyorum... Fair Play ödülü verilecekse şimdiden hak etti. Ödülü alıp sonradan yumruğu vurmazsa tabii...”
Aslında TV’de bu konuşmayı izlerken de Allah biliyor ya, ‘Bu kaba saba görünümlü adam nasıl oluyor da spor camiasında yıllardır görmediğimiz bir spor adamlığı, hatta sadece adamlık dersi veriyor’ diye düşünmüştüm!
Yanılmışım, keşke elim kırılsaydı da yazmasaydım. Daha mürekkep kurumadan, burada adını bir kez daha tekrar etmekten hicap duyduğum, benim açımdan artık Kayseri’nin ‘kâğıt üzerindeki’ başkanı, yaptı yapacağını ve Sivas maçı sonrası tabiri caizse ödülü alıp yumruğu vurdu... Öyle sözler sarf etti ki bu şahsın içinde kaç kişiyi barındırdığı hususunda şüpheye düştüm. Sakin atın tekmesi pek olurmuş, beyefendiliği ve adam tavrını bozmasına az kalmışmış, ligden bile çekilebilirlermiş; vesaire... Netice olarak ülke sporunun yöneticileri ‘bol malzemoslu pizza’ gibi içlerinde ne ararsan var... Tabii ülkede sadece Cumhurbaşkanlığı makamı aldatılmıyor, ara sıra bizim de başımıza geliyor! Sadece boyutu farklı. Dolayısıyla yazıklar olsun diyorum.
Süper Kupa rezaletinden sonra ortalarda görünmeyen TFF Başkanı Mehmet Büyükekşi neyi bekliyor merak ediyorum! Anlaşılan o ki Arabistan’dan dönmeyip orada istifa etmesi gereken Mehmet bey, sessiz kalarak konuyu boğmaya çalışıyor. Ya da talimat o şekilde... O zaman henüz buradayken kendisine birkaç sorum var:
Başka sorum yok, şimdilik..."
Fatih Soylemezoglu,2,2024,Boğazlı kazak gitti!,"Birisi şampiyonluk, diğeri küme düşmemek için korku tüneline girmiş olan iki takımın mücadelesinde, 13. dakikada Ferdi’nin kişisel hatası, fazla özgüvenin de tehlikeli olduğu gösterdi. Golden sonra klasik zayıf takımın golün üzerine yatma refleksi, Alanya’nın kaptığı topları Fener savunmasının arkasına atarak başlattığı hücumlarda korkup topu tekrar kendi kalecisine kadar geri getirmesi, intihar girişimlerinden farklı değildi.
Golden sonra oyunu Alanya sahasına yıkan Fener’in gol yollarındaki beceriksizliği ne hikmetse her hafta biraz daha artıyor. Takım olarak Ferdi ve Tadiç’e bu kadar yaslanarak oynamak umarım Fener’i önümüzdeki günlerde yıpratmaz.
İlk  yarı hakem gösterdiği kartlarla değil, kritik anlarda gösteremediği duruşu ile güven kaybına uğradı. Genç hakeme tavsiyem, eğer sana emanet edilen düdüğü bir kez bile seyirciye verirsen, bir daha hakemlik hayatın boyunca alamazsın! 
47’de Tadiç’in rakibin ayak bileğine basıp, özür için neredeyse gül gönderecek duruma gelmesi kartın renginin de 'gül' rengi olması için bir işaret olabilir miydi?
Suudi fiyaskosundan beri ortada görünmeyen federasyona tavsiyem, Devlet Tiyatroları Genel Müdürü Tamer Karadağlı'dan MHK için tecrübeli tiyatrocular istemesi. Belki onlar olmayan temaslar sonrası 'kurşun yemiş gibi' yerde kıvranan oyunculara puan yerine kart gösterilmesini öğretirler!
İkinci yarıda beklenen şekilde Fener'in, erken bulduğu 2 gol ile sahaya ağırlığını koyması gerekirken, sarı-lacivertli futbolcuların 'kutlu gol haftası' gevşekliğini fırsata çeviren Augusto, tekrar maçı dengeye getirdi. Özellikle 70’ten sonra gelmeye başlayan Alanya hücumları Fener'e ecel terleri döktürürken, 77’de Ertuğrul’un yaptığı kurtarışlar da Alanya’yı mental olarak ayağa kaldırdı. 
Netice... İsmail Kartal takıma sahip çıkamazsa, beyaz kazağa da sahip çıkamayacak gibi. Şimdilik çanlar Fenerbahçe için çalıyor!"
Fatih Soylemezoglu,2,2024,Fener her yerde,"Beşiktaş'taki kaosa adını meze ettirmeyerek Antalyaspor ile anlaşan Sergen Yalçın’ın, Nuri Şahin’den iyi durumda devraldığı takımına oynattığı güzel futbol, Fenerbahçe maçında da izleyenleri heyecanlandırdı.
Fenerbahçe Divan Kurulu’nda başkanın şampiyonluk yolundaki tek rakibine hiç şık olmayan cümleler sarf ederek takımı ve taraftarları diri tutma gayreti olsa da, gün geçtikçe takımda artan stres gözden kaçmıyor. Birçok Anadolu takımı gibi “etten duvar candır” çağdışı taktiğini benimsemeyen Antalya gibi oynayan takımlar şampiyonluk mücadelesine etki edeceklerini gösterdi. Orta sahayı ele geçiren ev sahibi, gole kadar kök söktürdü. Cengiz’in klas golü, Antalya’nın enerjisini aldı götürdü.
İsmail Kartal’ın iyi giden takıma yeni transfer Çağdaş’ı monte etmesi ve İrfan Can’dan vazgeçip tercihini Cengiz’den yana kullanması umarım takımdaki iç dengeleri bozmaz. Gerçi Cengiz attığı goldeki klası ile her an sonucu değiştirebilecek bir oyuncu olduğunu göstererek yerini perçinlemiş oldu.
İkinci devreye kaldığı yerden devam eden Antalya elinden geleni yaptı. Ancak Fener de topu ele geçirdiği zaman ne kadar tehlikeli olabileceğini her seferinde gösterdi. Attığı golün üzerine yatma yanlışına düşmeyen Fener, buna rağmen son dakikalarda adeta ecel terleri döktü. Uzatma dakikalarında gelen gol, teslim olmayan Fener’in neler yapabileceğini göstermiş oldu.
Skorun sahadaki oyunu yansıtmadığı maçta Antalya oynadığı oyunla alkışı hak ederken Fenerbahçe, şampiyonluk yolundaki önemli engellerden birini daha aşmış oldu."
Fatih Soylemezoglu,3,2024,Kayıp ilanı!,"Spor Bakanı Sayın Osman Aşkın Bak... Trabzon’da Fenerbahçe’nin canına kast edildi. “Süreci takip ediyoruz, soruşturma başlatıldı” demişsiniz. Maçta olanlar, yaratılan iklimin sonucu değil mi? Elin oğlu başka coğrafyada böyle bir sorumluluktan dolayı harakiri yapıyor, sizler takip ediyorsunuz! Etmeyin takip  falan, bunlar sizi de yoldan çıkarır. Doğru insanları takip edin, kurtulun  bunlardan!
Bir kupa finalini dahi oynatamayan insanlar, koca ligi oynatmaya çalışıyor. Hala neyi takip edip, soruşturuyorsunuz?
Kim sahip çıkacak Türk sporuna? Kim kimi kime niye kırdırıyor; birisi bunu bize anlatıp konuya vaziyet edecek mi acaba? Yarın bu olaylarda birinin canına zarar gelirse, kim sorumlu olacak? Olaylar oraya doğru gidiyor, bilmem farkında mısınız?
Uyarmadılar demeyin; yarın şampiyonluk son maça kalırsa sakın oynatmayın o maçı. Beyaz sezon ilan edin! “Covid patladı, nükleer bomba atıldı, hatta trafoya kedi girdi” filan diyerek iptal edin sezonu. Nasıl olsa her söylenene inanan bir toplumumuz var!
Gelelim Trabzonspor’un başkanı genç arkadaşa: 3-5 hafta önce herkese posta koyuyordunuz; hadi şimdi izah edin bakalım neler oldu orada? O gün anlamadığınız spor ahlakına ve adabına sığmayan konuşmalarınızın bugünkü olaylara sizce etkisi oldu mu? Kendinizi sorumlu hissediyor musunuz?
Kulüpler Birliği’nde kim bu federasyon yönetimini istiyor diye sorsak el kaldıran olur mu sizce? Madem memnun değilsiniz, niçin adım atmıyorsunuz? Lafa gelince mangalda kül bırakmayıp, icraata gelince ilk yer altına inen sizler oluyorsunuz! Niçin ve kimden korkuyorsunuz harekete geçmek için?
Ya hep birlikte harekete geçin ya da hep birlikte düşün sporun yakasından. Yorulmadınız mı milyonlarca garibanı yalan dolanla uyutup manipüle etmekten?
Cumhurbaşkanı Sayın Erdoğan... İşleri yönetmesi için o koltuklara oturttuğunuz şahıslar sizden kor-ku-yorlar. Adınızın geçtiği yerlerde dizlerinin bağı çözülüyor! Bu nedenle bırakın bir iş yapabilmeyi, evlerinde dahi yalın ayakla adım atamıyorlar!
LÜTFEN, birinin canı yanmadan salın şunları da bitsin bu kaotik ortam. Belki o zaman yetki verdiğiniz insanlar da biraz utanırlar!"
Fatih Soylemezoglu,3,2024,Halil 'Umut' verdi,"Henüz 2. dakikada gelen sürpriz gol ile birlikte maçta direksiyona geçen Galatasaray, özellikle Barış Alper’in
etkili atakları ile Beşiktaş’ı tedirgin etti. Beşiktaş ilk yarıda futbolun sadece savunma tarafını oynadı. Adeta ‘Defanstan çıkarsak bir daha dönemeyiz’ der gibi, maçı savunmada kabullenip orada oynamayı tercih ettiler.
İkinci yarıda oyundaki tek fark, maçın biraz daha sertleşmesiydi. Beşiktaş adına Masuaku ve Ghezzal’ın çabaları yeterli olmadı ve golü saymazsak maç, başladığı gibi bitti.
Halil Umut Meler’e gelince: İlk yarıda hakem isteyen pozisyon olmamasına rağmen, temaslarda verdiği birkaç ters karar ile henüz ısınma aşamasında olduğu izlenimi verdi. Yine de geçmiş referanslarını vücut dili ile sahaya yansıtarak rahat bir ilk yarı geçirdi.
İkinci yarıda ise Cenk Tosun’un penaltı itirazları sonrası gördüğü karttan sonra ettiği küfürleri herkes gördü. Buradan tüm hakemlere seslenmek istiyorum: Bu tip oyuncular her takımda var. Bu küfürler hepinize söylenmiş sayılır. Her hafta önünüze gelen bu tip saygısız sporculara hadlerini bildirmezseniz bu işleri çözemezsiniz. Bu adamlara takım ya da isim gözetmeden tepkinizi gösterin ki, sizlere arkanızdan da olsa küfür edilmeyeceğini öğrensinler.
Tabi bunun için sadece yumruk atıldığında değil, her zaman birlik olunmalı!"
Fatih Soylemezoglu,4,2024,Kartallar bildiğiniz gibi!,"Kaybettiği puanlar sonrası bir kez daha MR’ı çekilen Fenerbahçe ile bu sezon hala sahalara gelemeyen Beşiktaş’ın mücadelesi, adeta başlamadan bitti.
Henüz ilk çeyrekte 2 oyuncu değiştiren Fener eyvah dedirtirken, maça oynamaya değil oynatmamaya çıkan, bunu da pervasız bir sertlikle yapmaya çalışan Beşiktaş, hakemlerin doğru kararı ile eksilince maç kâğıt üzerinde sonuçlandı! 
Beşiktaş'ın gücü yetmediği için sertlik ile yanıt vermesi aslında futbolu çirkinleştirmekten başka bir şey değildi. Kırmızı kartla ilgili yeri gelmişken söyleyeyim.
“Rakibin spor hayatını bitirmeye tam teşebbüs” anlamına gelen bu tip temaslara disiplin yönetmeliğinin en ağır cezası verilmeli ki, bunu yapan vicdansız bir daha rüyasında bile bu girişimde bulunmasın!
Bu kadar üstün oynadığı maçı İsmail Bey de bizim gibi izlemeye devam edince Fenerbahçe bir türlü rahatlayamadı. Kendisinden 35 puan geride olan ve maçın 4’te 3’ünü bir kişi fazla oynayan takıma karşı Kartal, az daha kanadı kırık halde uçacaktı!
Hakem Volkan Bayarslan genelde iyi bir yönetim gösterdi. Müflis federasyon, yabancı VAR hakemlerinin çorbaya tat veren baharatlar kadar olaya etki edeceğini bilse, bugüne kadar beklemezdi diye düşünüyorum.
Şimdi düşünme sırası kendilerine güvenilmediği için elin oğlu getirilen bizim hakemlerimizde!"
