Yazar,Ay,Sene,Baslik,Cumle
Tarık Eryigit,1,2025,Bu savunmayla zor,"Sezona Süper Lig'de şampiyonluk, UEFA Avrupa Ligi'nde ise final hedefiyle başlayan Galatasaray, savunmasıyla alarm veriyor.
Oynadığı son 11 resmi maçta da kalesini gole kapatamayan Galatasaray'da en büyük sıkıntı, orta sahanın dinamizmindeki eksiklik. 
Galatasaray'ın geçtiğimiz yıldan bu yana yaptığı en iyi şey olan hücum pres, bu sezon istenen sonucu vermiyor. Orta saha ve hücum oyuncularının birbirlerini tamamlayamadığı hücum pres sonrası savunmadan çıkan rakipler, savunmayı az adamla yakalıyor.
Dinamo Kiev maçında da benzeri oldu. Galatasaray'ın baskısını kıran rakip, ciddi pozisyonlar üretti. Kapılamayan her top sonrası geri koşan Galatasaray savunması da, maçta dakikalar ilerledikçe yoruldu.
Orta sahanın yorulmasıyla Galatasaray, hücumdaki etkinliğini de kaybetti. Pozisyon bulmakta sıkıntı yaşadı. Pas hataları, rakibe kontra atak fırsatları verdi. Kaleci Muslera'nın da belki kariyerindeki en formsuz gününde olması, Dinamo Kiev'in kaleyi bulan 3 şutunun da gol olmasına neden oldu. 
Avrupa Ligi'nde son sırada yer alan, çıktığı 6 maçta sadece 1 gol atabilen Dinamo Kiev, Galatasaray ağlarını tam 3 kez havalandırdı. Okan Buruk'un Torreira-Berkan ikilisi ile orta sahadaki direnci arttırma isteği, Hatayspor maçının ardından Dinamo Kiev maçında da karşılık bulmadı. 
Dinamo Kiev karşısında bu sezonki 30. resmi maçına çıkan Galatasaray, kalesinde 47 gol gördü. Bu savunma zaafı belki Süper Lig'deki hedeften uzaklaştırmaz ancak Avrupa'da final hayalini erken bitirebilir. 
Galatasaray'ın bu savunmaya işi oldukça zor."
Tarık Eryigit,1,2025,Süper Lig'de kıyım sürüyor,"Süper Lig, son yıllarda yaşanan teknik direktör değişiklikleriyle adeta bir istikrarsızlık girdabına sürüklendi. Sezonun henüz başlarında bile birçok takımın teknik direktörünü değiştirmesi, Türk futbolunun temel sorunlarından birinin daha bir kez gözler önüne serildi. Bu durum takımların performanslarını olumsuz etkiliyor.
İlk yarısı sona eren Süper Lig'de bu sezon da benzer bir tabloyla karşı karşıyayız. Adana Demirspor ile Hatayspor'un 2 kez teknik direktör değiştirmesiyle sezonun henüz ilk yarısında Süper Lig'de 13 teknik direktör değişikliği yaşanmış oldu.
Bu kervana son olarak Antalyaspor eklendi. Alex de Souza'nın görevine son verilirken, Emre Belözoğlu ile anlaşma sağlandı. Ancak bu tercih yapılırken iki teknik direktörün benzer oyun yapısını benimseyip benimsemediği pek dikkate alınmadı gibi... Alex de Souza'nın sezon başında oluşturduğu takım, sezon ortasında farklı bir oyun anlayışına sahip Emre Belözoğlu'na teslim edildi.
Sık sık yaşanan teknik direktör değişiklikleri, Türk futbolunu olumsuz etkileyen birçok sonuç doğuruyor:
Bu sorunun üstesinden gelmek için aşağıdaki önlemler alınabilir:"
Tarık Eryigit,1,2025,Galatasaray'ın olmazsa olmazı,"Galatasaray, sahasında oynadığı maçta Başakşehir'i mağlup etti. 
Ancak sarı-kırmızılı takım, Gabriel Sara'nın yokluğunda zorlanacağa benziyor. Orta sahada hem fiziksel hem de zihinsel olarak etki eden Sara'nın yokluğu Kerem Demirbay ile kapanmadı. 
Galatasaray, Başakşehir deplasmanında galibiyetle dönerek liderlik koltuğundaki yerini sağlamlaştırdı. 
Ancak bu maçta Galatasaray'ın organize atak üretmekte ve orta sahada fiziksel üstünlük kurmakta sıkıntı yaşadığını fark ediliyor. Orta sahada Sara'nın yokluğu, hücum devamlılığını sağlamakta Galatasaray'a sıkıntı yaratıyordu. 
Bu nedenle rakipten kapılan toplarla etkili olmaya çalışan Galatasaray, iki gol bulduğu karşılaşmadan galip ayrıldı. 
Ancak Galatasaray, Süper Lig'de şampiyonluk yarışındaki avantajını korumak için Sara fiziğinde ve oyun bilgisinde bir oyuncu bulmak zorunda...
Bir zamanlar Torreira için söylenen ""Orta sahada olmazsa oyunun kontrolünü ele alamayız"" söylemi, şimdi Sara için söyleniyor. 
Tüm bu eksikliklere rağmen Başakşahir deplasmanından galibiyetle dönen Galatasaray, şampiyonluk yolunda bir engeli daha aşmış oldu. 
 "
Tarık Eryigit,1,2025,Türk futbolunda şiddet kanser gibi yayılıyor,"Galatasaray ile Göztepe arasında oynanan karşılaşmayı izlemeye giden iki takım taraftarları arasında yaşanan bıçaklı kavga sonrası yaralanan iki kişi hastaneye kaldırıldı. Daha önce pek çok benzeri yaşanan bu olay, Türk futbolunda gün geçtikçe artan şiddet sorununu bir kez daha gözler önüne serdi. 
Türk futbolu, ne yazık ki yıllardır şiddet olaylarıyla anılıyor. Saha içinde ve dışında yaşanan bu olaylar, sporun ruhuna aykırı olduğu kadar, toplumun genel ahlak yapısını da zedeliyor.
Tribünlerde yaşanan kavgalar, hakemlere yönelik saldırılar, futbolcular arasındaki gerginlikler ve sosyal medyada yapılan linç kampanyaları, Türk futbolunun yüz karası haline geldi.
Türk futbolunda şiddetin kökenleri oldukça derin ve karmaşık. Bu sorunun çözümü için öncelikle nedenlerini anlamak gerekiyor.
Türk futbolunda şiddetle mücadele etmek için kapsamlı ve uzun vadeli çözümler üretilmesi gerekiyor.
Türk futbolunda şiddet, çözülmesi gereken ciddi bir sorun. Bu sorunun üstesinden gelmek için tüm paydaşların ortak bir çaba göstermesi gerekiyor. Aksi takdirde, Türk futbolunun geleceği tehlike altında olacaktır."
Tarık Eryigit,2,2025,İkisine de yakışmadı,"Türk futbolunun en büyük ve en heyecanlı derbisi olan Galatasaray-Fenerbahçe maçları, her zaman büyük bir beklentiyle başlar. Taraftarlar, 90 dakika boyunca nefeslerini tutar, takımlar sahada büyük bir mücadele sergiler ve maç sonrası tartışmalar haftalarca sürer. Ancak Galatasaray-Fenerbahçe derbisi, beklentilerin oldukça altında kaldı. Sahada kısır bir futbol oynandı, maç sonrası açıklamalar ise futboldan çok, polemiklerle gündeme geldi.
Galatasaray ile Fenerbahçe arasında oynanan derbi, her iki takımın da temkinli bir oyun anlayışıyla sahaya çıkmasıyla başladı. İlk dakikalardan itibaren, takımların daha çok hata yapmamaya odaklandığı ve risk almak yerine defansif bir oyun tercih ettiği görüldü. Bu durum, maçın genelinde kısır bir futbol oynanmasına neden oldu. Taraftarlar, bekledikleri heyecanı ve kaliteli futbolu sahada göremedi.
Maçın kendisi kadar, maç sonrası açıklamalar da gündeme damgasını vurdu. Taraftarlar, sahada bekledikleri heyecanı bulamayınca, bu kez de teknik direktörlerin ve futbolcuların açıklamalarına odaklandı. Ancak bu açıklamalar, futboldan çok, birbirini suçlayan ve polemik yaratan ifadelerle doluydu.
Galatasaray teknik direktörü, maçın hakem kararlarına odaklanırken, Fenerbahçe teknik direktörü ise takımının oyun anlayışını savundu. Taraftarlar, bu açıklamalardan futbola dair bir analiz beklerken, daha çok birbirini eleştiren ve suçlayan ifadelerle karşılaştı. 
Maç sonrası açıklamaların bu şekilde polemik odaklı olması, Türk futbolunun kronik bir sorunu haline geldi. Taraftarlar, sahada kaliteli bir futbol izlemek isterken, maç sonrası kendilerini bir suçlama ve tartışma ortamının içinde buluyor. Bu durum, futbolun ruhunu zedeliyor ve taraftarların ilgisini olumsuz etkiliyor.
Derbinin ruhunu korumak ve taraftarların beklentilerini karşılamak için, öncelikle takımların sahada daha cesur ve yaratıcı bir futbol oynaması gerekiyor. Taraftarlar, risk alan ve mücadele eden takımlar görmek istiyor. Ayrıca, maç sonrası açıklamalarda futbola odaklanılmalı ve polemiklerden kaçınılmalıdır.
Galatasaray-Fenerbahçe derbisi, Türk futbolunun en büyük zenginliklerinden biridir. Ancak bu derbinin geleceği, takımların sahada sergilediği futbola ve maç sonrası tutumlarına bağlı. Taraftarlar, kaliteli bir futbol izlemek ve derbinin ruhunu yaşamak istiyor. Sahada kısır bir futbol oynanıyor, maç sonrası ise futboldan çok, polemikler konuşuluyor. Polemikler yerine, futbola odaklanan bir dil benimsenmeli ve taraftarların beklentileri karşılanmalıdır.
Galatasaray-Fenerbahçe derbisi, sadece bir maç değil; bir tutku ve bir yaşam biçimidir. Bu derbinin ruhunu yaşatmak, herkesin ortak sorumluluğudur. Sahada kaliteli bir futbol oynanmalı, maç sonrası ise futbola odaklanan açıklamalar yapılmalıdır. Ancak o zaman, bu büyük rekabetin heyecanı ve anlamı korunabilir."
Tarık Eryigit,2,2025,Artık buna bir 'Dur' demek gerekiyor,"Fenerbahçe'nin UEFA Avrupa Ligi son 16 play-off turu rövanş maçında Anderlecht ile deplasmanda oynadığı karşılaşmanın hemen başında, yaşanan bir ırkçı saldırı nedeniyle oyun durdu.
'Avrupa Birliği'nin kalbi' Brüksel'de yaşanan bu olay, futbol sahalarında son dönemde artan ırkçılık olaylarına artık ağır yaptırımlarla 'Dur' denmesi gerektiğini bir kez daha gözler önüne serdi. 
Futbol, bir toplumun aynasıdır; sahalarda yaşananlar, o toplumun sosyolojik yapısına dair ipuçları verir. 
Irkçılık, sadece oyuncuları değil, taraftarları da etkiliyor. Sahalarda yaşanan bu olaylar, toplumun genelindeki ırkçı eğilimleri de yansıtıyor. 
Futbol sahalarında ırkçılık, maalesef yeni bir fenomen değil. Özellikle Avrupa liglerinde farklı etnik kökene sahip oyunculara yönelik ırkçı tezahüratlar, hakaretler ve hatta fiziksel saldırılar, uzun yıllardır futbolun gündeminde...
Futbol, tarih boyunca birleştirici bir güç olmuştur. Örneğin, 1995 yılında Güney Afrika'da düzenlenen Rugby Dünya Kupası, apartheid rejiminin yaralarını sarmak için bir fırsat olmuştu. Benzer şekilde, 2018 FIFA Dünya Kupası'nda Fransa'nın şampiyonluğu, farklı etnik kökenlere sahip oyuncuların bir araya gelerek başarıya ulaşabileceğini gösterdi. Ancak ırkçılık, futbolun bu birleştirici gücüne ihanet ediyor.
Irkçılık, sadece hedef alınan oyuncuları değil, tüm futbol camiasını yaralıyor. Taraftarlar arasında ayrışmaya neden oluyor ve sporun ruhunu zedeliyor. Özellikle genç nesiller, sahalarda yaşanan bu tür olaylardan olumsuz etkileniyor ve futbolun birleştirici değil, ayrıştırıcı bir güç olduğunu düşünmeye başlıyor.
Bu sorunla mücadele etmek için herkese görev düşüyor. Futbol kulüpleri, UEFA, taraftarlar, oyuncular ve medya, ırkçılığa karşı birlikte hareket etmeli ve futbolun birleştirici gücünü korumalıdır. Ancak o zaman, futbol sahaları gerçek anlamda bir barış ve kardeşlik arenasına dönüşebilir.
Futbol sahalarında ırkçılıkla mücadele etmek için hem kurumsal hem de bireysel düzeyde çok ciddi adımlar atılması gerekiyor. 
İşte bazı öneriler:
Eğitim ve Farkındalık: Irkçılıkla mücadelede en etkili yöntem, eğitimdir. Futbol kulüpleri, taraftarlara yönelik farkındalık kampanyaları düzenlemeli ve ırkçılığın kabul edilemez olduğunu vurgulamalıdır. Özellikle genç taraftarlara yönelik eğitim programları, uzun vadede olumlu sonuçlar doğurabilir.
Sıkı Yaptırımlar: Irkçı tezahüratlarda bulunan taraftarlara yönelik sıkı yaptırımlar uygulanmalıdır. Örneğin, ırkçılık yapan taraftarların statlara alınmaması veya para cezası verilmesi, caydırıcı bir etki yaratabilir.
Oyuncuların Desteği: Futbolcular, ırkçılıkla mücadelede önemli bir rol oynayabilir. Saha içinde ve dışında ırkçılığa karşı duran oyuncular, hem meslektaşlarına hem de taraftarlara örnek olabilir. Örneğin, İngiltere Premier Ligi'nde oyuncuların maç öncesi diz çökerek ırkçılığı protesto etmesi, bu konuda farkındalık yaratan önemli bir adımdır.
Medya ve Sosyal Medyanın Rolü: Medya ve sosyal medya, ırkçılıkla mücadelede etkin bir şekilde kullanılmalıdır. Irkçı söylemlerin yayılması engellenmeli ve bu tür davranışların kınandığı mesajlar verilmelidir.
 "
Tarık Eryigit,2,2025,Futbolun karanlık yüzü,"Futbol, dünyanın en popüler sporu olmanın yanı sıra, toplumsal dinamikleri yansıtan bir ayna görevi de görür. Maçlar sırasında yaşananlar, sadece sahada kalmaz; tribünlerden yükselen sesler, tezahüratlar ve hatta küfürler, toplumun farklı katmanlarına dair ipuçları verir.
Geçtiğimiz günlerde Beşiktaş-Trabzonspor maçında, Trabzonspor kalecisi Uğurcan Çakır'a yönelik yapılan küfürlü tezahüratlar, futbolun bu karanlık yüzünü bir kez daha gözler önüne serdi. Peki, bu tür olayların sosyolojik etkileri nelerdir? Futbolun birleştirici gücü, nasıl oluyor da böyle ayrıştırıcı bir hal alabiliyor? 
Beşiktaş ile Trabzonspor arasında oynanan maç, her iki takımın taraftarları için büyük önem taşıyan bir karşılaşmaydı. Maç sırasında, Trabzonspor kalecisi Uğurcan Çakır'a yönelik küfürlü tezahüratların yükselmesi, olayın fitilini ateşledi. Özellikle Uğurcan Çakır'ın ailesine yönelik hakaret içeren sözler, sadece futbol camiasında değil, tüm toplumda büyük bir tepkiye neden oldu.
Bu tür tezahüratlar, ne yazık ki Türk futbolunda ilk kez yaşanmıyor. Ancak her seferinde, futbolun birleştirici gücünü zedeleyen ve toplumsal barışı tehdit eden bu tür olaylar, sporun ruhuna aykırı davranışlar olarak göze çarpıyor.
Futbol, sadece bir spor dalı değil; aynı zamanda bir kimlik ifadesidir. Taraftarlar, takımlarını desteklerken aslında kendi kimliklerini de sahaya yansıtırlar. Ancak bu kimlik ifadesi, bazen aşırıya kaçarak, karşı tarafı aşağılamaya ve hatta nefret söylemine dönüşebiliyor. Uğurcan Çakır'a yönelik yapılan küfürlü tezahüratlar, bu kimlik çatışmasının en uç örneklerinden biri olarak değerlendirilebilir.
Futbol maçları, taraftarlar için bir aidiyet duygusu yaratır. Ancak bu aidiyet duygusu, karşı tarafı ötekileştirme ve hatta düşmanlaştırma eğilimine dönüşebiliyor. Bu durum, toplumsal barışı tehdit eden ve ayrıştırıcı bir etki yaratıyor. Özellikle genç nesiller üzerinde, bu tür olayların olumsuz etkileri daha da derin olabiliyor.
Uğurcan Çakır'a yönelik yapılan küfürlü tezahüratlar, nefret söyleminin en açık örneklerinden biridir. Nefret söylemi, sadece bir kişiyi değil, aynı zamanda bir grubu, bir kimliği veya bir inancı hedef alan ve toplumsal barışı tehdit eden bir davranış biçimidir. Futbol maçlarında yaşanan bu tür olaylar, nefret söyleminin yaygınlaşmasına ve normalleşmesine neden oluyor.
Futbol, sadece bir spor dalı değil; aynı zamanda bir kültür ve bir yaşam biçimidir. Bu kültürün korunması ve gelecek nesillere aktarılması, herkesin ortak sorumluluğudur. Futbolun birleştirici gücünü korumak için, öncelikle nefret söylemi ve ayrıştırıcı davranışlarla mücadele etmek gerekiyor.
Kulüpler, taraftar grupları ve futbol otoriteleri, bu tür olayların önlenmesi için daha etkili önlemler almalıdır. Özellikle genç nesillere, futbolun centilmenlik ve saygı çerçevesinde oynanması gerektiği anlatılmalıdır. Ayrıca, nefret söylemi ve ayrıştırıcı davranışlar, sadece futbol sahalarında değil, tüm toplumda mücadele edilmesi gereken bir sorundur."
Tarık Eryigit,2,2025,Futbolun ruhuna yakışmayan karar,"Futbol, sadece bir spor dalı değil; aynı zamanda bir tutku, bir kültür ve bir yaşam biçimidir. Taraftarlar için takımlarının maçları, haftanın en önemli anlarıdır.
Ancak bazen, sahadaki olaylar futbolun bu büyülü dünyasını gölgeleyebiliyor. Adana Demirspor'un Galatasaray maçından çekilmesi olayı da tam olarak böyle bir durum.
Peki, bu olayın arka planında neler yaşandı? Futbolun ruhuna ve taraftarların duygularına ne kadar uygun bir karardı? 
Adana Demirspor ile Galatasaray arasında oynanan maç, normal seyrinde devam ederken, verilen bir karar her şeyi değiştirdi. Adana Demirspor'un teknik direktörü ve oyuncuları, hakemin verdiği penaltı kararını protesto etmek amacıyla sahayı terk etme kararı aldı. Bu karar, maçın yarıda kalmasına ve taraftarların büyük bir hayal kırıklığı yaşamasına neden oldu.
Hakem kararları, futbolun doğasında olan ve her zaman tartışma yaratan bir konudur. Ancak bir takımın sahadan çekilmesi, futbolun ruhuna ve taraftarların duygularına aykırı bir hareket oldu. Stadyumu dolduran binlerce taraftar, ekranları başındaki milyonlar büyük hayal kırıklığı yaşadı. Süper Lig'in marka değeri de büyük zarar gördü. 
Futbol maçlarında hakem kararları, her zaman tartışmalara neden olur. Özellikle kritik pozisyonlarda verilen kararlar, maçın seyrini tamamen değiştirebilir. Ancak, hakem kararlarına itiraz etmek ve protesto etmek, futbolun bir parçasıdır. Bu protestolar, genellikle saha içinde veya maç sonrası basın açıklamalarıyla sınırlı kalır. Ancak Adana Demirspor'un sahadan çekilme kararı, bu sınırları aşan bir eylemdir. 
Sonuç olarak, futbol dünyası, bu tür olaylardan ders çıkararak, daha centilmence ve saygılı bir yaklaşım benimsemelidir. Ancak o zaman, futbolun birleştirici gücü, ligin marka değeri korunabilir ve taraftarların güveni tekrar kazanılabilir."
Tarık Eryigit,2,2025,Türk takımlarının Avrupa sahnesindeki yolculuğu,"UEFA Avrupa Ligi'nde mücadele eden Galatasaray, Fenerbahçe ve Beşiktaş, aldıkları sonuçlarla beklentilerin altında kaldılar. 
Galatasaray ve Fenerbahçe play-off'a kalırken, Beşiktaş Avrupa'ya veda etti. Galatasaray'ın Şampiyonlar Ligi play-off turunda eleyen Young Boys'un 'Devler Ligi'ndeki performansı, Fenerbahçe'nin bir gol averajla play-off turuna tutunması, Beşiktaş'ın Avrupa defterini kapatması, Türk takımlarının durumunu gözler önüne serdi.
Avrupa kupaları, futbol dünyasının en prestijli organizasyonları arasında yer alır. Türk takımları da yıllardır bu sahada mücadele ederek, hem kendi marka değerlerini artırmaya hem de Türk futbolunu uluslararası arenada temsil etmeye çalışıyor. Ancak son yıllarda Türk takımlarının Avrupa kupalarındaki performansı, hayal kırıklığı yaratan sonuçlarla dolu. Peki, Türk futbolu Avrupa sahnesinde nerede duruyor? Bu sorunun cevabını derinlemesine irdelemek gerekiyor.
Türk takımlarının Avrupa'da yaşadığı en büyük sorunlardan biri, finansal yapılarının zayıf olması. Avrupa'nın önde gelen liglerindeki takımlar, devasa bütçeleriyle dünyanın en iyi oyuncularını kadrolarına katarken, Türk takımları ise bütçe sıkıntıları nedeniyle genellikle ikinci veya üçüncü liglerden oyuncular transfer etmek zorunda kalıyor. Bu durum, rekabet gücünü ciddi anlamda düşürüyor.
Ayrıca, Türk Süper Ligi'nin UEFA katsayısındaki düşüşü de takımların Avrupa kupalarında daha zorlu rakiplerle karşılaşmasına neden oluyor. Katsayının düşmesi, takımların eleme turlarında daha güçlü rakiplere denk gelmesine ve gruplara kalmakta zorlanmasına yol açıyor.
Türk takımlarının Avrupa kupalarındaki başarısızlığında, teknik ve stratejik eksiklikler de büyük bir rol oynuyor. Avrupa'da başarılı olmak için sadece iyi oyunculara sahip olmak yetmiyor; aynı zamanda doğru bir oyun stratejisi, disiplinli bir defans ve etkili bir hücum organizasyonu gerekiyor. Ancak Türk takımları, genellikle bireysel yeteneklere dayalı bir oyun anlayışıyla mücadele ediyor. Bu da, organize takımlar karşısında yetersiz kalmalarına neden oluyor.
Ayrıca, Türk takımlarının yabancı oyuncu politikası da sorgulanması gereken bir konu. Kadrolarda çok sayıda yabancı oyuncu bulunması, yerli oyuncuların gelişimini engelliyor ve takımların kimlik sorunu yaşamasına neden oluyor. Avrupa'da başarılı olan takımlar, genellikle yerli oyuncuların ağırlıkta olduğu ve güçlü bir takım kimliği oluşturmuş ekiplerden oluşuyor.
Türk takımlarının Avrupa kupalarındaki durumu, şu an için pek iç açıcı değil. Ancak, bu durumun değişmesi mümkün. Öncelikle, kulüplerin finansal yapılarını güçlendirmesi ve uzun vadeli bir planlama yapması gerekiyor. Yerli oyuncuların gelişimine önem verilmeli ve genç yeteneklere daha fazla şans tanınmalı.
Ayrıca, teknik kadroların daha modern ve analitik bir yaklaşım benimsemesi de büyük önem taşıyor. Avrupa'da başarılı olmak için sadece yetenekli oyuncular değil, aynı zamanda iyi bir oyun planı ve disiplinli bir takım anlayışı gerekiyor.
Türk takımlarının Avrupa kupalarında yeniden eski günlerine dönmesi için köklü bir değişim sürecine ihtiyaç var. Bu değişim, hem kulüplerin yönetim anlayışında hem de futbolcuların ve teknik ekiplerin yaklaşımında gerçekleşmeli. Ancak o zaman, Türk futbolu Avrupa sahnesinde hak ettiği yere gelebilir."
Tarık Eryigit,3,2025,Yabancı hakem çıkmazı,"Son dönemde Türk futbolunun gündemini en çok meşgul eden konulardan biri, büyük maçlarda yabancı hakemlerin görevlendirilmesi talebi oldu. Özellikle 29 Mart'taki Beşiktaş-Galatasaray derbisi öncesi yaşanan tartışmalar, bu konuyu yeniden alevlendirdi.
Peki, bu talep haklı mı? Yoksa yerli hakemlerimize yapılan haksız bir eleştiri mi?
Türk futbolunda her büyük maç sonrası aynı senaryo tekrarlanıyor: Tartışmalı kararlar, ardından ""Yabancı hakem gelsin"" çağrıları. Kulüplerin bu talepleri, yerli hakemlere duyulan güvensizliğin bir yansıması. Ancak sorulması gereken asıl soru şu: Yabancı hakemler gerçekten daha mı iyi?
Avrupa liglerindeki deneyimler gösteriyor ki, yabancı hakemler de hata yapıyor. Örneğin, İngiltere Premier Lig'de VAR kararları sık sık tartışma konusu oluyor. Ancak Türkiye'deki temel fark, her hatanın bir komplo teorisine dönüşmesi...
Geçmişte Halil Umut Meler, Cüneyt Çakır gibi tecrübeli hakemlerin bile büyük maçlarda baskı altında kaldığını gördük.
Stadyumdaki taraftarın baskısı
Sosyal medyadaki linç kültürü
Kulüp yöneticilerinin sert çıkışları
Tüm bu faktörler, hakemlerin performansını olumsuz etkiliyor. Oysa çoğu ülkede hakemler, bu tür baskılara çok daha az maruz kalıyor.
Yabancı hakem talebi, geçici bir çözüm olabilir. Ancak kalıcı çözüm, Türk futbolunun kendi sistemini düzeltmesinde yatıyor. Unutmayalım ki; İngiltere, Almanya gibi ülkeler de bir zamanlar hakem krizleri yaşadı. Disiplinli çalışma ve sistemli reformlarla bu sorunların üstesinden geldiler.
Türk futbolunun ihtiyacı olan şey, sürekli yabancı hakem çağırmak değil, kendi hakemlerimizi Avrupa standartlarına çıkarmak. Bunun için de herkesin - kulüplerin, taraftarların, medyanın - üzerine düşeni yapması gerekiyor. Futbolumuz ancak o zaman gerçek anlamda ilerleyebilir."
