Yazar,Ay,Sene,Baslik,Cumle
Umit Genc,1,2025,Tamiri zor işlere iyi usta lazım,"Visca 34- Nwakaeme 35 yaşında. Şampiyon olan kadronun iki dinamosu ve bugün hala Trabzonspor’un bayrak taşıyan adamları. Ligin son 5 yılının 11’i yapılsa ikisi de kafadan yazılır. Sadece Trabzon için değil, Türk futbolu için de çok çok özel yeri olan bu ikiliye sahip olmak Şenol Güneş’in en büyük şansı oldu.
Tamiri zor şeyler için iyi ustalara her zaman ihtiyaç vardır. 
Son 3 maçtaki gözle görülür en büyük fark bireysel olarak herkesin gelişime ayak uydurması. Batagov, Malheiro, Mendy, Ozan, dün oynamasa da Cham, son golü atan Lundstram. Hepsi tempo tuttu, ölü toprağından sıyrıldı. Oynarken keyif alan bir ekip görüyoruz. Sadece kazanan değil ezici oyunlarla, skorlarla kazanan bir takım şekline geçiş dönemi oldu.
Batista’da müthiş keyif veren bir saha duruşu var… Transferde aldığının üzerine çıkan topçu tabela yapmasa da olur ama Batista Mendy’de ikisi de var.
Stoper olarak çürütülen haftaları hangi vicdanla açıklayacağız bilmiyor.
Teknik ve fiziksel kapasitesi bambaşka bir konfor sağlıyor. Mendy Trabzon formasıyla Avrupa maçı oynamadan gönderilmemeli.
Yapılanma yılından yarışma yılına geçişte ortaya çıkacak iskeletin omurgası Mendy olacaktır. 
Uğurcan Çakır’ın penaltı atmak istemesi yeni doğan kızı için unutamayacağı bir hatıra olurdu kabul ama senin hocan Şenol Güneş. 
Onun büyüklüğü rakibe saygıyı her şeyin önüne koyar. Skor ne olursa olsun görevi tutmak olan birinin atmaya gelmesi bence doğru değildi. Banza kaçırmış olsa da doğru olan yapıldı. 
Sivasspor maçı ölçüdür. Kazanma arzusunu 3 maça çıkarmak iyi şeylerin hızlı oturmasını sağlayacak. Bu parametrelerden biri de transfer. Hata payı çok düşük ancak zamanı var. Bu zamanı doğru kullanmak lazım, sezon sonunu da görmek lazım. 
En iyi transfer takım içinde bulunandır çünkü. 1 ay önce tamamı çöp denilen bir yerden Batagov gibi bir stopere sahipsiniz artık. 
Trabzonspor'un oyun mantalitesi topa üçüncü bölgede sahip olmak son haftalarda. Oyunu rakip sahaya yıkma başarısı her geçen hafta yukarıya taşınmış;
Haliyle bu ivmeden taraftar da memnun kalıyor. 
Bu görüntü Şenol Güneş’in çok zorlansa da ortaya koyduğu özveri ile elde ettiği bir kazanım. Fikstür zorlaşacak bundan sonra. Bu oyununun sadece iç saha ile sınırlı kalmaması, deplasmandan havasının da bir an önce değişmesi gerekecek. "
Umit Genc,1,2025,Recep Uçar'dan Pamuk Prensesler'e...,"İki takım tekeline dönüştürülen ligimizin 19. haftasında yine kısır bir savaşın ortasında kaldık. Galatasaray ve Fenerbahçe'nin seviyeyi her hafta yerlere indirdiği bu kavga ortamında birileri çığırtkanlığa devam ederken hiç akla gelmeyecek bir isim ortaya çıktı: Konyaspor Teknik Direktörü Recep Uçar.
Uçar basın toplantısındaki eleştirisiyle herkesin aklından geçen ancak söylemeye cesaret edemediği, bu iki kulübün yarattığı rahatsızlığı dile getiren sürpriz bir isim oldu. 
Malum konu üzerine dün Recep Uçar hocayı aradım... Önce hal hatır konuştuk, sonra böyle bir çıkış yapmaya ne zaman karar verdiğini sordum. Hoca soruyu iki şekilde cevapladı:
1- Basın toplantısında gelen soru üzerine konuştuğunu, bu konuşmanın planlı olmadığını ancak kimsenin bakmadığı tarafı da dile getirmek istediğini söyledi. 
2- Tamamen daha önce de içinden geçirdiği şeyleri konuştuğunu ve bunların Fenerbahçe maçına özel bir sitem olmadığını üzerine basa basa tekrarladı. 
Recep Hoca Galatasaray ve Fenerbahçe üzerinden aslında tüm futbol kamuoyunu bir nebze de olsa uyandıran o sitemkar konuşmasının bu kadar gündem olacağını kendisi de tahmin etmemiş. 
Ancak sessiz bir çığlığı da harekete geçirdiği kesin. Ligin kalan 17 takımına sanki hiç yokmuşcasına davranan Galatasaray-Fenerbahçe hegemonyasına birinin ses yükseltmesi gerekiyordu. 
İki takımın yarattığı şey şampiyonluk yarışından çok başka bir yarışa dönüştü. (Ne yarışı olduğunu anladınız)
Filler tepişiyor, altlar eziliyor artık. Birinin bunu kamuoyunun yüzüne çarpması gerekiyordu. Recep Uçar'a bunu sağladığı için kendi nazarımda teşekkür ettim.
19 haftanın sonunda artık gazete manşetleri de Uçar'ın verdiği bu dip dalga ile olayı 'Ne yapıyorsunuz siz! Bıktık kavganızdan' moduna aldı şükürler olsun. 
Bu tepki yeterli olacak mı? Elbette hayır. Ligin boyu kısaldıkça bu seviyesiz demeç savaşları daha da büyüyecek. 
İşin komik tarafı ne biliyor musunuz; bu savaşı çıkaranlar dışarıda yüz yüze geldiklerinde Pamuk Prenses gibi oluyorlar. O zaman sizin derdiniz başka... Mikrofonlar önünde birbirlerine sözüm ona 'kapak' yapanlar, kendi aralarında ne kadar da efendi oluyorlar. 
Acun Ilıcalı ve İbrahim Hatipoğlu mesela... Mesajlarda samimiyken, mesajlar ortaya çıkınca samimiyetsizleştiler değil mi? 
Bu kavgadan 'haz' duyan taraftarlara zaten izah edecek bir şey yok... Onlar bu kaos olmadan yaşayamaz zaten.
Ben Recep hoca gibi 'hicap' duyanlara söylüyorum... Sakın bu illüzyonun bir parçası haline gelmeyin. Her Galatasaray maçından sonra Fenerbahçe açıklaması, her Fenerbahçe maçından sonra Galatasaray açıklaması için alarm kuranların değirmenine su taşımayın.
Bunlar 'pastanın büyük dilimini sen yedin, küçüğü bana kaldı' kavgası yapıyorlar. Siz bir de o pastadan 1 dilim bile alamadan eline vurulan 17 takımı düşünün."
Umit Genc,1,2025,Burası 'sıfır noktası!,"Sahaya sürülen 11'de her bölge için kendi arasında iyi ilişkilere sahip oyuncuların yer alması gerçekten çok önemli. 
Futbolda kazanmak için birbiriyle iyi ilişkilere sahip oyunculara sahip olmak halı sahada bile fark yaratır. 
Oynayanlar iyi bilir. Konsol oyunlarında bile transfer yaptığın oyuncu o bölgedeki diğer oyuncularla uyumlu değilse rating (derecelendirme) puanı düşüyor. Galatasaray'ın da takım olarak en büyük avantajlarından biri budur aslına bakılırsa.
Trabzonspor da son haftalarda biraz bunun ekmeğini yiyor diyebiliriz. Cham ile Banza'nın yakaladığı iyi ilişki diğer mevkilere de yavaş yavaş sirayet etti.
Visca-Malheiro-Cham-Banza 4'lüsüne diğer kanatta da Nwakaeme desteği gelince Trabzon'un hücumu tat vermeye başladı. Bu oyuncular birbirileriyle oynarken keyif almaya ve keyif vermeye başladılar. Malheiro'yu gecenin kahramanı yapan şey; koridor kullanımına tam geçiş yapması oldu. İdeal bekin kullanımı böyle olur. Şenol Hoca serbestlik vererek kollarını Malheiro ile genişletti. 
Kadro istikrarı bu geçiş sürecinde çok önemliydi. Şenol Güneş son haftaların ideal 11'ini koruyarak kabaca bir iskelet yaratmayı başarmış görünüyor. Ağırlıklı olarak genç isimlerden oluşan bu iskelete Visca ve Nwakaeme tecrübesi omuz verince ortaya bir şey çıkmaya başladı. 
Malheiro henüz 23 yaşında, Muhammed Cham 24. Mendy 25. Dünün en iyilerinden savunmadaki temiz ayak Batagov 22. Bu çekirdek, güçlü bir potansiyel vadediyor gelecek açısından. 
Şenol Güneş bu isimlerden maksimum faydayı alma konusunda epey zorlandı ama dünkü gollerden sonraki sevinci yapabileceklerine olan inancın mutluluğuydu bence. Hücum organizasyonlarında çok daha doğru işler yaptı Trabzonspor. 
Banza'nın tabelaya ve oyuna olan katkısı şu sezon içerisinde muazzam. Alınamayan Onuachu ile 3 ay yatıp kalkan taraftar, sezon sonu da Banza ile yatıp kalkar artık. Trabzon'un unutulmaz kiralık golcülerinin arasına Banza'nın da girdiğini kimse inkar etmez herhalde. 'Takım kalitesi böyleyken atan, şampiyonluğa oynarken neler yapmaz' dedirtiyor Banza.  
Visca, Malheiro ve Cham sağ kanadı çok etkili kullandı ilk yarıda. Oyunun yönünü ağırlıklı olarak o tarafa yıkan Trabzonspor rakip kaleye olabildiğince çabuk ulaştığı bir strateji izledi. Aynı baskı ikinci yarıda da gelince Antalyaspor'un kırılmaya çok müsait direnci daha fazla dayanamadı ve 5 gollü fark geldi. 
Edin Visca haftaya Trabzonspor ile dalya diyecek. 100'e ulaşmadan 53 gole direkt katkı yapmış. Her sezon 35 maçı aynı çizgide oynayacak yaşı geçti ama saygı duyulması gerek. Ligin abisi. Çok özel bir karakter. Sözleşmesi bitiyor. Makul bir maaşla kalmasından yanayım. 
Burası Trabzonspor ve Şenol Güneş buluşması için bir 'sıfır' noktası. Eksilerden gelinen bir 'sıfır' noktası. Her şeye sıfırdan başlamak için iyi bir şans. Harcama limitlerinde eli en güçlü yönetim Trabzonspor'da. Bu güne kadar yönetilemeyen, baltalanan, vasata razı edilmeye çalışılan kulübün çehresini değiştirmenin son şansı şu ara transfer dönemi. Hata yapan koltuğu bırakır.
Eren Elmalı konusunda Galatasaray'ın oyuncu üzerinden bir girişimi varsa Şenol Güneş 'önce bize geleceksiniz' demekte çok haklı. Milli bir oyuncu ve Trabzonspor için de değerli. Birine talip olduğunuzda bile önce gidip ailesinden istersiniz. Eren Elmalı'nın ailesi de Trabzonspor'dur... Çok büyük ihtimalle transfer gerçekleşecek ancak bunun etik değerler içerisinde doğru adımlarla yapılması gerek. Resmi kanallardan kulübe teklif gitmeden oyuncuya 'seni alıyoruz' demek apaçık transfer manipülasyonudur. "
Umit Genc,1,2025,Kadıköy'ün psikolojisi bozuk,"Fenerbahçe hocasının ligin şu evresinde, taraftarın gündemi ve beklentisi bambaşka iken Galatasaray konuşmasını doğru bulmuyorum. 
Yeni yılın ilk maçı, Fenerbahçe'yi yeniden havaya sokacak onca şey söylemek varken Galatasaray'dan bahsetmek yapılacak en son şey olmalı.
Üstelik bunun ne oyuna, ne tribüne, ne de takıma pozitif hiçbir etki yaratmadığını milyonlarca Fenerbahçeli gibi herkes biliyor. İsmail Kartal bunun çok çok üzerinde bir Fenerbahçe izletirken bile uğraşmıyordu böyle işlerle.
***
Fenerbahçe'de konuşulması gereken şey galibiyet golünden sonra bile tribünlerin 'istifa' talep etmesi. Bu haldeyken hocanın rakibin maçlarını konuşması akıl izan dışı.
Hatayspor çok büyük sürpriz olmazsa küme düşecek. Rakip bu kadar zayıfken, lige de bu kadar ara verilmişken, taraftar haliyle döndüğünde daha iştahlı bir takım görmek istiyordu. İttire kaktıra zorla 2-1 aldı maçı Fenerbahçe. Dolayısıyla tribün buna reaksiyon gösteriyor. 
Problemin Mourinho ile ilgili olup olmadığını zaman gösterecek ama Kadıköy'ün psikolojisi hiç bu kadar bozuk olmamıştı. Takımın ayakları titriyor yahu. Şampiyonluk kaçırmaya bile razı olan Kadıköy'de taraftar bu çaresizliğe isyan ediyor artık. Haksızlar mı?
***
Bu kavgalar iyi yere varmayacak. Bugün puan kaybedilmese yarın, yarın edilmese öbür gün. Bu farkın daha da artmasından endişeli olan herkes sonuna kadar haklı. 
Mourinho Hatayspor'un maçları yerine açıp geçen senenin Fenerbahçe'sini hiç izlemiş mi merak ediyorum. Transferle filan çözülmez bu iş. Talisca gündemi var mesela... 1 aydır Fenerbahçe taraftarını hipnoz etmeye çalışıyorlar bu konuyla. Mourinho da Galatasaray üzerinden yapmaya kalkıyor bunu. Verdiğin bir lokma, gözün başka bahçede.
***
Pereira yapamadı, Jesus yapamadı, İsmail Kartal yapamadı, Mourinho yapamadı, Talisca gelip şampiyon yapacak Fenerbahçe'yi!
Yönetim insin sokağa, sosyal medya trollerini de alıp insin. Talisca mı gelsin? Ali Koç mu gitsin? diye sorsun. Ali Koç'un gidişini isteyecek o kalabalığı bir görsün.
Saracoğlu'nda 'istifa' sesine kulaklarını kapatanlar, sonra gözlerini kapattı, sonra ağızlarını kapattı, şimdi iş sırtı dönmeye geldi. 
 
 "
Umit Genc,2,2025,Deli deliyi görünce sopasını saklarmış,"Zenginlerin derbisini fakirler konuşuyor, kavgasını da fakirler veriyor artık. Tarihin görmediği kadroların çıktığı derbide tarihin görmediği rezaletleri yaşadık yine.
İki camianın bu kısır çatışması bize düzenli ve istikrarlı ayıplardan başka bir şey vermiyor artık.
Dün Seyrantepe’de bir futbol maçına değil de güvenliği sağlanmış bir liseli kavgasına gitmiş gibiydim. 
Avrupa’da soluğu kesilen horozların kafası futbola çalışmadığı için sahada ve tribünlerde ha patladı ha patlayacak bir çatışmanın ortasında 95 dakika geçirdik.
Bu 95 dakikanın sadece 49’unda top sahada kalmış, maçın yarısı oynanmamış. Tebrik etmek lazım 6-7 dakika iyileşme var. 
Dünyanın en balon, en şişirilmiş derbisine kalkıp bir de yabancı hakem lütfettik. Vincic herhalde hayatı boyunca unutamayacağı bir maç yönetti dün. Saygısız ve gereksiz önyargıların ne kadar boş olduğunu, bu kör dövüşünün bile ne kadar iyi yönetilebileceğini gösterdi Türk hakemlerine.
Okan Buruk’un maç boyu süren tacizlerine rağmen işini layıkıyla yapmış bir hakem olarak ayrıldı sahadan.
Kimse kusura bakmasın... Sezon boyu Anadolu’nun adeta üzerine basarak yürüdüğü bu iki kulüp birbirlerine gelince futbol özürlüsü oluyorlar ne hikmetse! 
Adına derbi dedikleri şey Beşiktaş ve Trabzonspor maçları olduğunda çok daha fazla heyecan veriyor. Hal böyleyken onların da yabancı hakem istemeleri kadar rasyonel bir durum yok.
Deli deliyi görünce sopasını saklarmış. Onca tantana bunun için miydi? Fenerbahçe bunun için mi 2 maçta da Galatasaray’ı sindirecek bir sonuç alamıyor? Galatasaray bunun için mi git gide kaybediyor Avrupa’daki itibarını? Sonuç: koca bir borç batağı. 
Türk insanının afyonu oldu bu kör dövüşü. Tüm yıl bu vasatlık için kavga ettirilen yaşamsal statüsü düşmüş insanlar gerçeği görmemekte maalesef fazla ısrarcı. 6 ay taksitle derbi bileti alan insanlar dün az daha birbirlerini yakıyordu statta. Durum vaziyet bundan ibaret.'"
Umit Genc,2,2025,Dolmabahçe'de Uğurcan öfkesi niye?,"Türkiye’de ahlaki çürümenin etkileri manevi değerlerin hiçe sayılmasına kadar gider oldu… Kime ne kadar öfke duyarsanız duyun. Onun manevi ve aile değerlerine hakaret etme hakkını size vermez.
Bir oyuncunun Milli Takım forması giymesiyle de uzaktan yakından alakası yoktur bunun. Milli Takım’da oynamıyorsa da kimsenin annesine, ailesine küfür edemezsiniz. Uğurcan Çakır konusunda yapılan açıklamada ‘Milli Takım oyuncusu’ imajını da bu konu özelinde gereksiz buluyorum. 
Uğurcan Çakır milli olmasaydı da dünkü Beşiktaş Trabzonspor maçında ailesine hakaret edilmemeliydi. 
Peki bu konu neden bu kadar büyüdü?
Ben dün stattaydım. Maç başlamadan önce ısınmaya çıkıldığında Uğurcan Çakır’ın annesine tribünlerden küfür edildiğini duyunca olaya anlam veremedim. Daha önce yaşanan gerginlik ilk başta aklıma gelmedi. 
Sonra santra yapılmadan önce Uğurcan’ın kalesinde ufak bir teknik problem oldu, kenara onu bildirdi. Kale ağlarına onarım yapılırken bu sefer bütün stat, binlerce insan, Beşiktaş’ın kalbinin attığı o statta hep bir ağızdan Uğurcan’ın annesine yine aynı küfürleri etmeye başladı. 
Ben bu anı daha önce Kadıköy’de de yaşamıştım. Dejavu oldum. Video çektim sosyal medyada paylaştım. Yüzlerce yorum geldi. 2021’deki maçta Uğurcan’ın tribünleri tahrik ettiği maçı hatırlatanlar oldu. 
Galatasaray maçlarında berbat, Beşiktaş’a karşı ayrı hırs yaptığını söyleyenler vardı. 
Yani onlarca sebep yazmışlar o küfürler için. Fakat bunların hiçbiri bir oyuncunun annesine küfür edilmesini meşrulaştıracak şeyler değil bana göre. 
Tribünlerin anlık reaksiyonlarını, tepkilerini, ıslıklarını, hatta madde atmalarını bile bir yere kadar kabul ediyorum. Sadece Türkiye’de olan şeyler değil. Futbolda olur. Tribün kültüründe var kabul. 
Ama bu işin boyutunun bütüne yayılarak kutsala, aile, anneye varacak kadar ileri gitmesini ayıplıyorum. Dolmabahçe’de değil sadece. Hiçbir koşulda hiçbir statta işi bu boyuta getirmeyeceksin. Beşiktaş’ın anlı şanlı tarihine, rakip oyuncuya 3 defa kitlesel şekilde küfür etmek yakışmaz. Yakıştırılmamalı. 
Uğurcan geçmişte tribün tahrik ettiyse bile bu yaşanmamalıydı. Hoşnut olmayan Beşiktaşlılar da var. Onu da gördüm. 
Uğurcan tahrik işine girdiyse 3 sene önce ki o maçta da yine aynı küfürler edildiği için maçı kazanmanın hırsıyla reaksiyon vermişti. Bu da hatalı. En az dünkü kadar sakin kalmalıydı. 
Sevmiyorsan top ayağına her geldiğinde protesto et. Unutmadıysan ıslıkla. Kitlesel küfür bu tribünlere yakışmaz. Beşiktaş kültürüne bu oturmaz. Kadıköy’de olduğunda ayıpladığın şeyi yapma. 
Trabzon’da olmuyor mu? Oluyor. Türkiye’nin her yerinde oluyor. Bu işleri düzeltelim diye yazıyoruz. 
Aynı tribünler eski hocaları, Trabzon şehrinin özü Şenol Güneş’i kucaklarken onun temsili Uğurcan’a neden küfür etsin? 
Eski Türkiye’de çocuklar anneye küfür edilmeyeceğini sokaklarda top oynarken öğrenirdi. En ayıp şeydi bu. Şimdi çocuklar anneye küfür etmeyi maçlarda öğrenmesin lütfen. Ne olur yeni neslimizi bu ahlak çürümesinden koruyalım. 
Maça gelirsek… Beşiktaş ikinci yarı şıkır şıkır top oynadı. İlk yarı ölü taklidi yapan Beşiktaş’ın bu kadar dirilmesi Trabzonspor’u da şaşkına çevirdi. Önde olduğunun bile farkında değildi Şenol Güneş bence ikinci yarıya çıktıklarında. Olsaydı eğer Ozan ile başlamazdı. Tutardı skoru bir şekilde. 10 maçtır deplasmanda kazanamayan bir takım öyle yapar çünkü. Karnesi kırık dolu takım vizesini geçtiği dersin finalinde azıcık gayret eder de kalmaz."
Umit Genc,2,2025,Üçleme hedefi rakip Beşiktaş,"Ligin fark yaratan takımı Eyüpspor’un Trabzon deplasmanında ilk yarıda harcadığı fırsatları alt alta yazınca maçın ilk yarı 0-0’da kalması mucize gibi oldu. Bu kadar yüksek tempolu geçen ilk 45’te penaltı da dahil 4 net gol şansı vardı Eyüpspor’un. 
Tabela değişmeyince Trabzonspor da üstüne gitmeye başladı rakibinin. Rezil şutlarla sonuçlanan 4-5 pozisyona da onlar girdi. Eyüpspor belki de bitirişte en berbat olduğu maçı oynadı. 
Ludstram’ın girdiği sürpriz pozisyonlar ilk yarıda vasatı aşamasa da pozisyona onun giriyor olması bize bir sinyal veriyordu. Şenol Hoca'nın en büyük etkilerinden biridir bu. Onun ceza sahası içine sürpriz koşular atmasının önünü açtı. Geriden derine girip boşaltılan alanı zekice kullandı ve golü attı.
Zubkov, Nwakaeme ve Visca’nın aynı anda sahada olduğu dönem henüz rollerin tam oturmaması nedeniyle çok karmaşa oluşturuyordu. Merkeze Cham girip Zubkov kenara gelince ikinci yarı topun da gözü açıldı biraz. Mendy’siz orta saha kurgusu çok yavan ve geçiş vermesi çok olası kalıyor. Bu yüzden Mendy yoksa Ozan Tufan aynı tadı vermese de mutlaka olmalı bence. 
Arda Turan gelişimini çok hızlı yaşayan bir teknik adam. Elbette bunda çalıştığı kaliteli hocaların etkisi büyük. Deplasman veya iç saha ayırmadan kafasını sadece sahaya vermiş bir takımla iyi oyunlar izletiyor. 
Dün Trabzonspor’a karşı 2.5 gol beklentisine ulaşmış Eyüpspor’un puansız kalma kaderini biraz kaçan penaltıya biraz da orantısız şutlara bağlamak yanlış olmaz. 
Trabzonspor ligdeki sıralamada üstünde olan Alanyaspor’un ardından Eyüpspor’u da mağlup etti. Sıradaki maçın yine önündeki rakip olan Beşiktaş olması bu üçlemeyi tamamlama açısından doğrudan bir hedef.
Uğurcan Çakır’ın ekstra gayretiyle son 5 maçtır gol yemeyen Şenol Güneş ve ekibinin devre arası transferinde ne yaptığının notunu verecek ciddi sınavı İstanbul’da olacak. İlk 5 hedefinde Eyüp’ten 3 puan yazıldıysa artık en büyük rakip Beşiktaş’tır."
Umit Genc,2,2025,Mahalle abilerinin kavgası,"Perşembe günü ligimizin iki büyük markası, Türk futbolunun öncüleri ve 'ağır abileri' Avrupa arenasında son maçlarına çıktı. Galatasaray 'bu kolay fikstürde ilk 8 takım arasına kesin girerim' derken 14'üncü sırayı zor gördü. Fenerbahçe ise tamamen şansla ilk 24'e tutunabildi.
Mahallenin horozları kafalarını kendi küçük dünyalarının dışına çıkardığında nasıl da süt dökmüş kediye dönüyorlar... Ne bir yönetici, ne teknik adam, ne de futbolcu. Kimsenin ağzını bıçak açmıyorlar. Hafta içi mülayim olan abilerimizin panayırı hafta sonu başlıyor.
Adetleri mahalleye rahatsızlık vermek. Dönünce başlıyor tantana.
Biz her hafta aslında Galatasaray-Fenerbahçe maçı izliyoruz. Rakipleri yok. Birbirleriyle oynuyorlar sürekli. Rakibin adı kağıt üzerinde farklı yazsa da izlediğimiz maç Fener ile G.Saray maçıdır. Diğerleri diye bir şey yok çünkü. 
Mesela bu hafta Fenerbahçe Çaykur Rizespor'la değil Galatasaray ile oynadı. Galatasaray da Gaziantep'le değil Fenerbahçe ile oynayacak. Öyle izleniyor maçlar, öyle bekleniyor, öyle de yorumlanıyor. Diğer maçların tamamı öte yandan.
Burada bahsettiğim şey bu iki takımın maçlarının daha çok gündem olması değil. Elbette öyle olacak, seveni çok. Lakin mahallenin abileri tepişirken çimlerin ezilmesi de hak değil. 
Türkiye'de bu iki kulüp dışında bir takımı destekleyen herkes 'acaba bu hafta ne tür bir saçmalık izleyeceğiz' diyerek geçiyor televizyon karşısına. Burada aslında sitemin büyüğünü Beşiktaş ve Trabzonspor'a ayırmak lazım;
Yarışta bu iki takımı yalnız bırakacak kadar kötü olmanız onların istediği gibi at koşturmasının önünü daha da açtı.
Bu iş öyle bir hale geldi ki; geçen hafta Fenerbahçe forması giyen Samet Akaydın bu hafta otoparkta çıkan kavgada karşı cephede savaşıyor. Herkesi taraf olmaya mecbur bıraktıkları bir mahalle.
Ülke de böyle değil mi zaten? Kimse kendi olamıyor. Herkes bir tarafın yanında olmak zorunda. Bizim abilerin kavgası 'senin daha çok, benim daha az yanımdalar' kavgası. "
Umit Genc,3,2025,Derbi normalleşmesi ve konfor alanı,"Baştan söyleyeyim. Derbi okumak isteyen yazıyı şu an bıraksın. Yazanlar da hep aynı şeyleri yazıyor zaten. Bizim başka önceliklerimiz var.
Herkesin inandığı bir şey vardır bu hayatta. Bizimkilerin inancı her koşulda futbol kavgası etmek.
Türk toplumunun inandığı en büyük olgu bir futbol topunun etrafında dönüyor. Biz takımların delisiyiz, gerisi tırıvırı.
Dünyanın 90 dakikalığına durduğu, her şeyin dışarıda kaldığı tek yer olabilir stadyum. Ortalama bir gelire sahip olan, ortalamanın altında yaşayan, çok çalışan ama kalitesiz yaşayan herkesin kendini en kaliteli hissettiği yer tribün çünkü. 
Ben yıllardır bunu gördüm, bunu hissettim, bunu söyledim. Türkiye’de deplasmanda değilseniz eğer en özgür hissettiğiniz yer de tribündür. Dolayısıyla oyundan çok daha fazla haz veren şey sadece orada olmaktır. İnsanlar sanırım bunu kaybetmek istemiyor. 
Toplumsal statülerin hiçbir anlamı olmadığı tek yer burası çünkü. 
Rekabetin bedelini ödemek zorunda kalmak istemiyorsanız maça gidersiniz. Sokakta tek başına yapamayacağınız her şeyi maçta toplu halde yapabilirsiniz. Buna küfür de dahil. 
Siyasi iklimimiz bu rekabete sokakta müsaade etmiyor mesela. İhalede etmiyor. Meydanlarda etmiyor. Mecliste etmiyor. Sandıkta etmiyor. Mahkemede etmiyor. 
Siyasette namağlup olmak Beşiktaş'ın namağlup olayına benzemiyor.
Sahanın dışında bu konfor alanı neredeyse yok. Dışarıda tarafsanız şansınız yok. Cezasız kalmanız imkansıza yakın. 
Bu yüzden futbol oyunu rakip olarak en rahat olduğunuz oyundur. Her koşulda (yenmek, yenilmek) akşam evinize gidersiniz. Şahsi olarak bir bedel ödemezsiniz. İşte gerçek bir konfor alanı. 
Ülkede son 1 haftada yaşadıklarımız, birilerimizin ödediği bedellerle sonuçlanırken Beşiktaş-Galatasaray maçıyla birlikte normalleşmemiz beni haklı çıkarıyor. 
Normal olmak bana normal gelmiyor bu ara çünkü Türkiye’de genç olmak taraftar olmaktan daha zor. 300’den fazla gencin tutsak edildiği bu bayramda normalleşmek sizin için normalse vay halimize. 
Oyunun büyüsü diyelim. İyi bayramlar."
Umit Genc,3,2025,Boykotu futboldan başlatın,"Türkiye son yıllarının en olağanüstü günlerini yaşıyor. Siyasetin mahkemelere, hak arayışının sokaklara taştığı şu günlerde toplumun afyonu yine futbol olacak gibi...
Korkum şu; milli aranın ardından başlayacak lig maratonunda üst üste yapılacak fahiş hakem hataları ile sokağın ilgisini yine kısır tartışmalara çekme operasyonu geliyor.
Muhalefetin başlattığı boykotun sınırları sadece markalarla sınırlı kalırsa sonuç alma işi yine başka baharlara kalır. 
Çünkü Türkiye'de sivil hareketin en geniş olduğu etki alanı hala futbol sahaları ve tribünleridir. Boykot işini futbola ve tribünlere sirayet ettiremezseniz başarılı olmanız çok zor olur. Toplum hareketinin ilk derbide bölüneceği yer orası çünkü.
Ufuktaki en tez bölünme potansiyeli futbolda. Bu yüzden önce futbol izleyicisine bir bilinç kazandırmak gereklidir.
Sokakta direniş verirken tribünde ayrışma yaşarsan birileri için dumanı dağıtmak çok daha kolay hale gelir.
Beşiktaş, Galatasaray ve Fenerbahçe ülkenin en büyük kitlelerine sahip camiaları olarak bir şeylerin değişmesini samimi olarak istiyorlarsa bu haftadan başlamalılar çünkü gündemi futbolla değiştirmek için müthiş bir uğraş verilecek.
Bu rüzgara kapılan her taraftar sokakta yükselen sese olan ilgisini kaybedecek. Sosyal medyada bugün başka bir şey için yapılan 'adalet' paylaşımları hakem kararları üzerinden okunmaya başlanacak. Sınır çizgilerini iyi çekin. 
Sosyal medya zehrini Beşiktaş-Galatasaray maçının hakem kararı ile vermeye çok yakınlar. İlla bir şeyleri boykot etmek istiyorsanız o hareketi tribünlerden başlatın. Ayrışmayı boykot edin. Gündemi futbol topuna kaydıran herkesi boykot edin."
