Yazar,Ay,Sene,Baslik,Cumle
Yasin Yildirim,1,2025,Yuh olsun size,"Fenerbahçe, Fenerbahçe gibi oynamayı düşündüğünde her şey güzel ama bunun dışındaki anlarda işler sarpa sardı. Dünkü maçın özeti buydu. Golü yiyene kadar ve öne geçtikten sonra bu kadar kontrollü oynamanın gereği yoktu.
Jose Mourinho hiç boşuna “Eksiğimiz çok” bahanesine sarılmasın. Midtjylland’ın ilk 11 değeri sadece 20 milyon Euro. En-Nesyri kadar yani. Bir ortada yıkıldıktan sonra ayağa kalkmasını bildi sarı-lacivertiler. Burada da başrolü kaptan Edin Dzeko oynadı. Önce En-Nesyri’ye nefis bir pas bıraktı, Faslı golcü de aynı kalitede bitirdi. İkinci yarının hemen başında bu kez Szymanski’nin ortasında öyle bir ön direk koşusu yaptı ki Dzeko, ders niteliğindeydi.
Öne geçtikten sonra maçı koparamayınca yine bir anlık hatada yıkıldık. 2-2’den sonra 3’ü de yiyebilirdik, ardından galibiyet golünü de atabilirdik. Gitti-geldi yani maç. Bitiş düdüğünün ardından bizim için acı bir bekleyiş başladı. Maç bizim için bitmedi yani. Oturup diğer maçların sonucunu bekledik. Bir gol averajıyla 24. yani play-off için sonuncu olarak bileti cebe koyduk.
Transferde milyonlarca Euro’yu saçan takımlarımız, Avrupa Ligi’nde bu hallere düşüyorsa oturup düşünmeliyiz. Galatasaray 14, Fenerbahçe 24, Beşiktaş 28. sırada bitirecekse Avrupa’nın 2 numaralı kupasının lig aşamasını kapatıp gidelim ışıkları. Yuh olsun size. Türkiye’de ergenleri güldüren sosyal medya göndermeleri, kahve ağzı yönetici atışmaları, VAR bahanelerinin arkasına sığınan teknik direktörlerimizle yola devam. Transferde şampiyonuz ama Avrupa’da buyuz!"
Yasin Yildirim,1,2025,Enerjisini tüketmiş,"Beşiktaş tüm enerjisini dört gün önceki Bilbao maçında tüketmiş gibiydi Antalya önünde. Emre Belözoğlu’nun gelişiyle pas oyununu daha iyi uygulamaya çalışan ev sahibi ekip, özellikle ilk yarıda Beşiktaş’ın topa sahip olmasını ve hızlı hücuma çıkmasını engelledi. Siyah-beyazlıların da zaten buna pek niyeti yok gibiydi. Sahaya enerji koymayan, rakibi sıkıştırmayan Ole Gunnar Solsk- jaer’in Kara Kartal’ı, kısır bir 45 dakika izletti bize. Neredeyse üç pas yapamadı. Chamberlain ile olmuyor, olmayacak. Semih de kafasını kaldırmadığı sürece sadece hamle oyuncusu olabilir. Artık bunları görmesi lazım.
Güçlü olmak Semih gibi oyuncuları bir yere kadar taşır. Oyun görüşü ve tercihler ise yıldız yapar. İkinci yarıda Muçi ve Immobile’nin oyuna girişiyle biraz daha topa sahip olmayı başaran Beşiktaş, Antalya’nın basit top kaybı sonrasında golü buldu. Gedson’un güzel pasında Immobile, sahanın en kısa oyuncularından olan Rafa Silva’ya kafa golü attıracak ustalıkta bir asist yaptı.
Bu gol bile Beşiktaş’ın maçı kazanma iştahını kabartmadı. 6 dakika sonra bir anlık hatayı bu kez Antalya iyi değerlendirdi. Erdal, ceza sahasında soğukkanlı kalıp, Mert’in de yere erken yatmasını iyi değerlendirdi. Genel olarak bakıldığında maçın hakkı da beraberlikti.
Ole Gunner Solskjaer’in çözmesi gereken en önemli konu, oyuncuların maç konsantrasyonunu yükseltmek. Beşiktaş futbolcusu maç seçmez her maçı kazanmak için oynar. Amaçsız kalan takımı oynatmak zordur kabul ama en azından kadro kaliteniz birçok maçı kopartmaya yetecek düzeyde. Karşınızdaki rakiplerin çoğu da bin bir sorunla boğuşan Anadolu takımları."
Yasin Yildirim,1,2025,Final rüyası kurdurur,"Değişimler genelde sancılıdır ama sadece bir hoca değişikliği ile Beşiktaş siyahtan beyaza geçmiş. Nerede Samsun maçındaki Beşiktaş nerede Atletic Bilbao’ya sahayı dar eden Beşiktaş.
Takımları tanımayan biri maçı izlese mavi formalı takımı Avrupa Ligi’nin alt sıralarındaki bir takım, beyaz formalıyı Avrupa Ligi’nin favorisi zanneder. Ole Gunnar Solskjaer, takımın tüm havasını değiştirmiş. Takımın üzerindeki ölü toprağını atmış herkesi yerli yerine koymuş. Rafa 10 numarada olunca 10 numara oynuyor. Rashica hayatının maçını çıkarıyor, Muçi piyasa yapıyor.
Hadi bunlar normal. İspanya Milli Takımı’nın yıldızı Nico Williams, yeteneği küçük yüreği büyük Svensson karşısında nefes alamadı. Taraftarın isyan bayrağını açtığı Masuaku, neler yaptı neler. Premier Lig temposundaki maçta Beşiktaş tek bir an bile geri adım atmadı. Sürekli yardımlaşan, alan daraltan siyah-beyazlılar sahaya yüreğini bıraktı.
Muçi nasıl bir pastı o, Rashica da 90’a astı. Bu gol öz güveni getirmişti. Sonra kim tutar Beşiktaş’ı. İlk yarının son dakikasındaki şanssız gol bile takımı yavaşlatmadı. Müthiş bir kontra takımı olan Beşiktaş, Rafa-Rashica resitali ile İstanbul’a burnu havada gelen İspanyolları bozguna uğrattı. Solskjaer, Beşiktaş’a iyi geldi. Bu oyun bırakın üst tura çıkmayı, San Mames’te final rüyası bile kurdurur."
Yasin Yildirim,1,2025,İyi günde herkes sever,"İstanbul'daki hava durumu, siyah-beyazlı taraftarların efsane ‘Yağmurlu bir günde sevmiştim seni’ bestesini mırıldattı bana. 
Ama yağmurlu bir günde bu kez biraz yalnız bırakmıştı Beşiktaşlılar takımlarını. İyi günde herkes sever, mesele biraz da kötü günde sevdana sahip çıkmak değil mi?
Kasım ayında şampiyonluğa havlu attıktan sonra bitmek bilmez artık o sezon. Ama yine de keyfini çıkarmalı bazı şeylerin. Sırf Mert Günok’u izlemek için bile gidilir Beşiktaş maçlarına. Fredy’nin şutu ve Immobile’nin ters vuruşunda öylesine iki kurtarış yaptı ki kaptan, ‘Ben kaldım kardeş, ben kaldım’ der gibiydi. Kalesini, pamuk ipliğine bağlı bir savunma dörtlüsüne rağmen adı gibi mertçe
savunuyor.
İlk yarıda sağ kanat gıcır gıcır işledi. Rafa’nın müthiş ortasında NDour uçarak ağları buldu. Zaynutdinov’un hat kıran pasında Onur çizgiye inip Immobile’yi topla birlikte ağlarla buluşturdu. Sadece 9 kez ceza sahasında topla buluşup iki gol çıkarmayı başardı Beşiktaş ve haftalar sonra bir maçta 2 farkı yakaladı.
İkinci yarıda tamamen durur mu bir takım? Durdu. Bodrum bastırdı, Beşiktaş izledi. Uzatmada gelen gol sonrası son bölümlerde acı da çekti. Böylesine bir maçta bile hakem tartışılır mı? Tartışılır. Mehmet Türkmen bize bunu gösterdi. 
Genç, sempatik, Mourinho’nun gözdesi Türkmen, VAR’ın uyarısına rağmen, Taylan’ın ayağına basılmasını defalarca izleyip penaltıyı vermedi. Bunu gördükten sonra sadece VAR’ın yabancı olması yetmeyecek gibi."
Yasin Yildirim,2,2025,Ayıkla pirincin taşını,"Süper Lig’e tutunmaya çalışan Konyaspor, pazartesi günü Trabzonspor’la oynayacağı
için Galatasaray maçına yedeklerle çıktı. Sarı-kırmızılılar da Kasımpaşa maçını düşünerek aynı şekilde karşılık verdi. Ama gelin görün ki Galatasaray’ın yedekleri, Süper Lig’de düşmeye oynayan bir takımın yedeklerine bile üstünlük kuramadı. Eğer Galatasaray, Konya’nın yedeklerini
yenebilmek için Osimhen’i sahaya sürüyorsa, ortada ciddi bir sorun var demektir.
Bakıyorum, iş ciddiyeti ile oynayan bir-iki oyuncu dışında kimse yok. Anlamsız paslaşmalar, garip şut ve orta tercihleri derken koca bir maç heba edildi. Galatasaray pozisyona girmeden maçı bitirdi!
Mertens şartel indirmiş, futbola küsmüş gibi. O, böyle takılmaya devam ederse Galatasaray şampiyonluk yarışında da su kaynatır, benden söylemesi. Yunus biraz kıpırdandı, gerisi gelmedi. Ahmed Kutucu’nun daha 40 fırın ekmek yemesi lazım. Cuesta, 8 milyon Euro’yu bırakın 800 bin Euro’luk futbolcu izlenimi vermeye devam ediyor. Jelert ve Berkan çok iyi çocuklar, borç isteseler
veririm ama formayı vermem. Maça gelenler de televizyon başından izleyenler de eziyet çekti 90 dakika boyunca.
Okan Buruk için artık bahane dönemi bitmeli. Takımı dökülüyor. Avrupa faciası, ligdeki kötü gidiş derken, kupada da sarı kart avantajı ile bir üst tura ite kaka yükseldi takımı. Seri başı olamadığı için de ufukta derbi gözüktü. Hadi bakılım, ayıkla pirincin taşını."
Yasin Yildirim,2,2025,Menüde karnabahar mı vardı?,"Galatasaray ve Fenerbahçe sürekli savunmayı düşünüp, risk almaktan kaçınınca tatsız-tuzsuz, saçmasapan bir maç izledik. Kısacası korku dağları bekleyince, dağ da fare doğurdu. Pazartesi günü İstanbul trafiğinin felç olmasına, insanların evlerine gidememesine mi yanalım, binlerce polisin bu soğukta çift sıra sahaya dizilmesine mi yanalım, yoksa bin bir eziyet tribüne giden taraftarın çektiği sıkıntıya mı? Sizin futbolunuz bu kadar!
Yabancı hakemi görünce kuzuya dönen bizim cesur yürek futbolcularımızın öğlen menüsünde herhalde haşlanmış karnabahar vardı. Ne itiraz eden var ne hakemin etrafını saran var ne hakemi aldatmaya çalışan var. Ne oldu size? Gareziniz Türk hakemlerine mi? Slavko Vincic sahadaki duruşu, oyuncular üzerindeki hakimiyetiyle rahat rahat maç yönetti. Hataları oldu mu? Oldu. Zaten ne oyun onu zorladı ne de futbolcular.
Jose Mourinho yine bir derbiyi kazanamadı. Zaten bu kafayla kazanması da mümkün değil. Fenerbahçe buradan galibiyetle dönseydi, şampiyonluk şarkıları söylemeye başlayabilirdi. Gereksiz üçlü defans ısrarı, Tadic’e gösterdiği sabırla, iyi de oynamayan Galatasaray’ın ekmeğine yağ sürdü. Okan Buruk’un takımı ev sahibi avantajını kullanamadı, üretken değildi ve gol pozisyonuna giremedi. Sara gerekli pas dağıtımını, Barış ve Frankowski de bindirmeleri yapamadı. Dua etsinler Lemina’ya. Muhteşem bir maç çıkardı. Her topa yetişti. Kaderin cilvesi Pereira ile anlaşamayan Gabonlu, taraftar baskısıyla kapısında yattığı Galatasaray’ı böyle oynarsa şampiyonluğa taşır."
Yasin Yildirim,2,2025,Mou’nun mesajı,"Mourinho, 3-0’a rağmen Anderlecht deplasmanında sahaya as11’ini sürerek şu mesajı verdi: Ben bu kupayı istiyorum. Bu bakış Fenerbahçe için turu geçmekten bile daha önemli.
4. dakikada ev sahibi ekibin ikramıyla gelen gol maçı fiilen bitirdi. Dzeko’nun En Nesyri ile olan uyumu balla kaymak tadı vermeye başladı. Maç fiilen bitti ama bizim için aksiyon olacak ya tribünde yaşanan istenmeyen olaylar sonrasında İsviçreli hakem soyunma odasına gidiverdi. 18 dakikalık bekleyiş zaten perşembe başlayıp cuma günü biten maçı sahura doğru programına çevirdi.
Sahaya tekrar döndük derken bu kez İrfan Can, ödeşelim diyerek Vasquez’e golü ikram etti.
İkinci yarıda on dakikalık baskı sonrasında kalemizde ikinci golü de gördük. Ancak sarı-lacivertli ekibimiz çabuk toparlandı, çalışılmış bir korner organizasyonunda Skriniar’ın indirdiği topu çiçeğimiz Yusuf Akçiçek’le ağlara yolladık. Panik havası dağıldı, son 16 bileti cebe kondu.
Fenerbahçe sahadaki kendinden emin duruşuyla çeyrek finale yakın izlenimini veriyor. Ancak yine de üçlü savunmanın sıkıntılarını Mourinho’nun biraz daha gözden geçirmesi şart."
Yasin Yildirim,2,2025,Afiyet olsun,"AZ Alkmaar önünde utanç verici bir futbolla ilk maçta tura veda etmek can acıtıcı. Madem Avrupa hedefiniz yok neden devre arasında tonla transfer yaptınız Morata da ‘Ben nereye geldim?’ bakışını sık sık attı dün gece. Galatasaraylılar için Avrupa her şeyden önde gelir. Ama Okan Buruk bunun farkında değil.
Hiç boşuna Avrupa’da takım çalıştırma hayalleri kurmasın. Sadece yerel bir teknik direktör olduğu bu sene fazlasıyla gözüktü. Bu sene Galatasaray’ın deplasmanda oynadığı maçlara bir bakalım: Young Boys (3-2), Rigas Skola (2-2), AZ Alkmaar (1-1), Malmö (2-2), Ajax (2-1) ve dün gece yine AZ Alkmaar (4-1). Bu beş takımı toplasan bir takım çıkmaz ama Galatasaray bir galibiyet bile çıkaramadı. Çıkarmak bir yana hiçbir maçta oyun üstünlüğünü eline alamadı.
Ayağı kötü bir kalecin varsa Berkan’ın sol stoper olduğu bir üçlü sistemle maça çıkmak intihar demekti. İlk yarıda yenen iki gol, Abdülkerim’in çizgiden çıkardığı iki top ve rakibin kaçırdığı iki net pozisyonla AZ Alkmaar, Galatasaray’ı cezalandırdı. Buruk sistem değiştirip 4’lüye geçse de bu kez Kaan, Sparta Prag deplasmanındaki hatasını tekrarlayıp, takımını on kişi bırakınca film koptu. Türkiye’deki en büyük yanlışlardan biridir: İyi savunmayı iyi takımlar yapabilir. Savunma yapmak kalite gerektiren bir iştir. Kötü takım savunma yapamaz. Galatasaray kötü bir takım olarak savunma yapmaya çalıştığında foyası ortaya çıkıyor. 
Sorun Galatasaray’ın güçsüz oyunu. Takım hiçbir şekilde kompakt değil, pas yapan ve koşan takımlar karşısında amatör bir takıma dönüşüyor. 
Siz Dinamo Kiev’i yenip, ilk 8 biletini cebinize koyamazsanız, erkenden kestiğiniz UEFA Kupası pastasını afiyetle yersiniz."
Yasin Yildirim,2,2025,Sakata gelmedi,"Galatasaray için öncelik soğuk hava ve sert zeminde sakata gelmemekti. Onu da başardı sarı-kırmızılılar. Kötü başlayıp iyi bitirdiler. Bu kadroyla da iyi başlamanın pek ihtimali yok gibiydi. Bakmayın maçın 4-1 bittiğine. Galatasaray’ın çok zayıf bir yedek kulübesi var. Üç kulvar düşünüldüğünde yönetimin birkaç nokta atışı transfer yapması gerektiği yine gözüktü.
Morata’nın attığı goldeki bitiriciliği kadar, pozisyonu hazırlayışı da kalitesinin bir ürünüydü. Osimhen ile birlikte ön alanda rakip savunmaları fazlasıyla zorlayacakları kesin. Ayağının tozuyla Gaziantep’e gitmesi kadar dün de Bolu’da toptan kaçmadan, oyunun sürekli içinde yer alması futbol karakterinin bir ürünüydü. Torreira da kötü zemine rağmen her şeyini verdi. Zaten onun enerjisiydi Galatasaray’ı ayağa kaldıran. Tam bir profesyonel. 
Galatasaray’ın büyük umutlar bağladığı ve 6 milyon Euro’luk yatırım yaptığı Yusuf Demir bir gol iki asistle maça damga vursa da kolay olanları yapamadı. 2-3 çok net fırsatı harcadı. Aklını daha çok sahaya vermek zorunda. Bu haliyle sadece kupa maçlarında şans bulabilir. Jeneriklik bir gol atan Eyüp Aydın’la birlikte mutlaka daha fazla forma giyecekleri bir takıma kiralanmaları gerekir. 
Ahmed Kutucu, Gaziantep’te galibiyeti getiren golün ardından dün de sol ayağıyla İcardi’yi hatırlatan bir bitiriş yaptı. Oyunun içinde kendisini geliştirmesi gereken noktalar olsa da ciddi bir şut tehdidi var. İyi bir devre arası transferi olduğunu gösterdi."
Yasin Yildirim,3,2025,O köprü çöker,"Akıllı köprü arayıncaya kadar deli suyu geçermiş. Ole Gunnar Solskjaer derbide işte bunu yaptı. Kendisini çözüme en kısa sürede götürecek şeyi buldu. Başkalarının delilik gibi gördüğü şeyler aslında en büyük dahilikti. Okan Buruk ise hâlâ köprü aramaya devam ediyor. Böyle giderse, o bulduğu köprü de karşıya geçemeden çöktü çökecek.
Galatasaray’da şu anda bir yönetim krizi var. Sahte gülücüklerle, birlik pozlarıyla geçiştirilme ye çalışılıyor. Herkes şampiyonluk pastasından en büyük dilimi kapma peşinde. Futbolu yönetenler arasındaki yarış, yapılan saçma sapan transferlerle ağır bir ekonomik yük getirdi. Bir takım devre arasında 30 milyon Euro para harcayıp geriye gider mi?
TFF ile yaşanan gerilimde ele gelen fırsat da tepildi. Yabancı hakem en çok deplasman takımına yarar. Galatasaray iki zor deplasmana gidip, rakibi Fenerbahçe evinde üç derbi oynayacakken Galatasaray yönetimi, Türk hakem verilmesine adeta göz yumdu. Bunun ilk darbesini de Beşiktaş maçında yedi. Yabancı hakem olsaydı, o yabancı maddeler sahaya atılabilir miydi örneğin. Ama dedik ya Galatasaray yönetiminin sadece adı var.
Okan Buruk hiçbir kritik maçta ortalarda yok. Evinde Fenerbahçe’yi yenemiyorsun, Kasımpaşa’ya puan kaptırıyorsun ve Beşiktaş deplasmanında yeniliyorsun. Diğer maçlarda Osimhen’in sırtındasın zaten. O zaman hocaya ne gerek var? Okan Buruk kurulu düzeni bozup, bıkmadığı transfer şımarıklığıyla en kritik süreçte takımı deneme tahtasına çevirdi. Üçlüye göre adam aldı dörtlüye döndü. İki 9 numarayla sahaya çıkıp, birinin 10 numara gibi oynamasını bekliyor. Sokaktan bir Galatasaraylı çevirelim ve soralım oynanan futboldan memnun musunuz diye? Bir kişi bile evet cevabı vermez. O zaman konuşacak bir şey de yok. Okan Buruk üst üste 3 şampiyonluk alıp yollanan ilk teknik direktör olmak için uğraşıyor delice."
